Player,Team,Goals,Assists,Penalties,Nationality,Position,Season
Erling Haaland,Manchester City FC,27,6,7.0,Norway,,2023
Cole Palmer,Chelsea FC,22,12,9.0,England,,2023
Alexander Isak,Newcastle United FC,21,2,5.0,Sweden,,2023
Dominic Solanke,AFC Bournemouth,19,3,2.0,England,,2023
Phil Foden,Manchester City FC,19,8,,England,,2023
Ollie Watkins,Aston Villa FC,19,13,,England,,2023
Mohamed Salah,Liverpool FC,18,11,5.0,Egypt,,2023
Heung-min Son,Tottenham Hotspur FC,17,10,2.0,South Korea,,2023
Bukayo Saka,Arsenal FC,16,9,6.0,England,,2023
Jarrod Bowen,West Ham United FC,16,6,,England,,2023
