Position,Team,Games Played,Won,Draw,Lost,Points,Goals For,Goals Against,Goal Difference,Form,Season
1,Manchester City FC,38,28,7,3,91,96,34,62,"W,W,W,W,W",2023
2,Arsenal FC,38,28,5,5,89,91,29,62,"W,W,W,W,W",2023
3,Liverpool FC,38,24,10,4,82,86,41,45,"W,D,W,D,L",2023
4,Aston Villa FC,38,20,8,10,68,76,61,15,"L,D,L,D,W",2023
5,Tottenham Hotspur FC,38,20,6,12,66,74,61,13,"W,L,W,L,L",2023
6,Chelsea FC,38,18,9,11,63,77,63,14,"W,W,W,W,W",2023
7,Newcastle United FC,38,18,6,14,60,85,62,23,"W,L,D,W,W",2023
8,Manchester United FC,38,18,6,14,60,57,58,-1,"W,W,L,L,D",2023
9,West Ham United FC,38,14,10,14,52,60,74,-14,"L,W,L,D,L",2023
10,Crystal Palace FC,38,13,10,15,49,57,58,-1,"W,W,W,D,W",2023
11,Brighton & Hove Albion FC,38,12,12,14,48,55,62,-7,"L,L,D,W,L",2023
12,Everton FC,38,13,9,16,48,40,51,-11,"L,W,D,W,W",2023
13,AFC Bournemouth,38,13,9,16,48,54,67,-13,"L,L,L,W,W",2023
14,Fulham FC,38,13,8,17,47,55,61,-6,"W,L,D,D,L",2023
15,Wolverhampton Wanderers FC,38,13,7,18,46,50,65,-15,"L,L,L,W,L",2023
16,Brentford FC,38,10,9,19,39,56,65,-9,"L,W,D,L,W",2023
17,Nottingham Forest FC,38,9,9,20,36,49,67,-18,"W,L,W,L,L",2023
18,Luton Town FC,38,6,8,24,26,52,85,-33,"L,L,D,L,L",2023
19,Burnley FC,38,5,9,24,24,41,78,-37,"L,L,L,D,W",2023
20,Sheffield United FC,38,3,7,28,16,35,104,-69,"L,L,L,L,L",2023
1,Liverpool FC,38,25,9,4,84,86,41,45,"D,L,D,L,W",2024
2,Arsenal FC,38,20,14,4,74,69,34,35,"W,W,D,L,D",2024
3,Manchester City FC,38,21,8,9,71,72,44,28,"W,W,D,W,W",2024
4,Chelsea FC,38,20,9,9,69,64,43,21,"W,W,L,W,W",2024
5,Newcastle United FC,38,20,6,12,66,68,47,21,"L,L,W,D,W",2024
6,Aston Villa FC,38,19,9,10,66,58,51,7,"L,W,W,W,L",2024
7,Nottingham Forest FC,38,19,8,11,65,58,46,12,"L,W,D,D,L",2024
8,Brighton & Hove Albion FC,38,16,13,9,61,66,59,7,"W,W,W,D,W",2024
9,AFC Bournemouth,38,15,11,12,56,58,46,12,"W,L,L,W,D",2024
10,Brentford FC,38,16,8,14,56,66,57,9,"D,L,W,W,W",2024
11,Fulham FC,38,15,9,14,54,54,54,0,"L,W,L,L,W",2024
12,Crystal Palace FC,38,13,14,11,53,51,51,0,"D,W,W,D,D",2024
13,Everton FC,38,11,15,12,48,42,44,-2,"W,W,W,D,L",2024
14,West Ham United FC,38,11,10,17,43,46,62,-16,"W,L,W,D,L",2024
15,Manchester United FC,38,11,9,18,42,44,54,-10,"W,L,L,L,D",2024
16,Wolverhampton Wanderers FC,38,12,6,20,42,54,69,-15,"D,L,L,L,W",2024
17,Tottenham Hotspur FC,38,11,5,22,38,64,65,-1,"L,L,L,D,L",2024
18,Leicester City FC,38,6,7,25,25,33,80,-47,"L,W,D,W,L",2024
19,Ipswich Town FC,38,4,10,24,22,36,82,-46,"L,L,L,D,L",2024
20,Southampton FC,38,2,6,30,12,26,86,-60,"L,L,D,L,L",2024
1,Arsenal FC,10,8,1,1,25,18,3,15,"W,W,W,W,W",2025
2,AFC Bournemouth,9,5,3,1,18,16,11,5,"W,D,W,D,D",2025
3,Liverpool FC,10,6,0,4,18,18,14,4,"W,L,L,L,L",2025
4,Tottenham Hotspur FC,10,5,2,3,17,17,8,9,"L,W,L,W,D",2025
5,Chelsea FC,10,5,2,3,17,18,11,7,"W,L,W,W,L",2025
6,Sunderland AFC,9,5,2,2,17,11,7,4,"W,W,L,W,D",2025
7,Manchester United FC,10,5,2,3,17,17,16,1,"D,W,W,W,L",2025
8,Manchester City FC,9,5,1,3,16,17,7,10,"L,W,W,W,D",2025
9,Crystal Palace FC,10,4,4,2,16,14,9,5,"W,L,D,L,W",2025
10,Brighton & Hove Albion FC,10,4,3,3,15,17,15,2,"W,L,W,D,W",2025
11,Aston Villa FC,10,4,3,3,15,9,10,-1,"L,W,W,W,W",2025
12,Brentford FC,10,4,1,5,13,14,16,-2,"L,W,W,L,W",2025
13,Newcastle United FC,9,3,3,3,12,9,8,1,"W,L,W,L,D",2025
14,Fulham FC,10,3,2,5,11,12,14,-2,"W,L,L,L,L",2025
15,Everton FC,9,3,2,4,11,9,12,-3,"L,L,W,D,L",2025
16,Leeds United FC,10,3,2,5,11,9,17,-8,"L,W,L,L,D",2025
17,Burnley FC,10,3,1,6,10,12,19,-7,"L,W,W,L,L",2025
18,Nottingham Forest FC,10,1,3,6,6,7,19,-12,"D,L,L,L,L",2025
19,West Ham United FC,9,1,1,7,4,7,20,-13,"L,L,L,D,L",2025
20,Wolverhampton Wanderers FC,10,0,2,8,2,7,22,-15,"L,L,L,D,D",2025
