League,season_id,Game,Team,Player,Season,game_id,Position,Position ID,Minutes,Goals,Own Goals,Shots,xG,xg_chain,xg_buildup,Assists,xA,Key Passes,Yellow Cards,Red Cards,date
ENG-Premier League,2425,Manchester United v Fulham,Fulham,Adama Traoré,2024,26602,AMR,11,79,0,0,3,0.11462824046611786,0.1360686719417572,0.021440427750349045,0,0.0,0,0,0,
ENG-Premier League,2425,Manchester United v Fulham,Fulham,Alex Iwobi,2024,26602,AML,13,90,0,0,1,0.018717896193265915,0.036473482847213745,0.036473482847213745,0,0.0,0,0,0,
ENG-Premier League,2425,Manchester United v Fulham,Fulham,Andreas Pereira,2024,26602,DMC,7,90,0,0,0,0.0,0.09959518909454346,0.05785633623600006,0,0.24563656747341156,6,1,0,
ENG-Premier League,2425,Manchester United v Fulham,Fulham,Antonee Robinson,2024,26602,DL,4,90,0,0,0,0.0,0.05791391059756279,0.05791391059756279,0,0.0,0,0,0,
ENG-Premier League,2425,Manchester United v Fulham,Fulham,Bernd Leno,2024,26602,GK,1,90,0,0,0,0.0,0.036473482847213745,0.036473482847213745,0,0.0,0,0,0,
ENG-Premier League,2425,Manchester United v Fulham,Fulham,Calvin Bassey,2024,26602,DC,3,90,0,0,2,0.11599854379892349,0.036473482847213745,0.036473482847213745,0,0.0,0,1,0,
ENG-Premier League,2425,Manchester United v Fulham,Fulham,Emile Smith-Rowe,2024,26602,AMC,12,65,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,
ENG-Premier League,2425,Manchester United v Fulham,Fulham,Harrison Reed,2024,26602,Sub,17,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,
ENG-Premier League,2425,Manchester United v Fulham,Fulham,Harry Wilson,2024,26602,Sub,17,11,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,
ENG-Premier League,2425,Manchester United v Fulham,Fulham,Issa Diop,2024,26602,DC,3,90,0,0,0,0.0,0.0943298190832138,0.0943298190832138,0,0.0,0,0,0,
ENG-Premier League,2425,Manchester United v Fulham,Fulham,Jay Stansfield,2024,26602,Sub,17,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,
ENG-Premier League,2425,Manchester United v Fulham,Fulham,Kenny Tete,2024,26602,DR,2,90,0,0,2,0.08744418621063232,0.11577025055885315,0.0943298190832138,0,0.0,0,0,0,
ENG-Premier League,2425,Manchester United v Fulham,Fulham,Raúl Jiménez,2024,26602,Sub,17,11,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,
ENG-Premier League,2425,Manchester United v Fulham,Fulham,Rodrigo Muniz,2024,26602,FW,15,79,0,0,2,0.08192206919193268,0.08101047575473785,0.0,0,0.07068104296922684,2,0,0,
ENG-Premier League,2425,Manchester United v Fulham,Fulham,Sasa Lukic,2024,26602,DMC,7,90,0,0,0,0.0,0.11462824046611786,0.0567719042301178,0,0.05785633623600006,1,0,0,
ENG-Premier League,2425,Manchester United v Fulham,Fulham,Tom Cairney,2024,26602,Sub,17,25,0,0,0,0.0,0.0,0.0,0,0.0,0,1,0,
ENG-Premier League,2425,Manchester United v Fulham,Manchester United,Alejandro Garnacho,2024,26602,Sub,17,28,0,0,2,0.4038030505180359,0.6021967530250549,0.03178107738494873,1,0.1898372620344162,2,0,0,
ENG-Premier League,2425,Manchester United v Fulham,Manchester United,Amad Diallo Traore,2024,26602,AMR,11,62,0,0,0,0.0,0.0,0.0,0,0.01805894263088703,1,0,0,
ENG-Premier League,2425,Manchester United v Fulham,Manchester United,André Onana,2024,26602,GK,1,90,0,0,0,0.0,0.14530973136425018,0.14530973136425018,0,0.0,0,0,0,
ENG-Premier League,2425,Manchester United v Fulham,Manchester United,Bruno Fernandes,2024,26602,FW,15,90,0,0,6,0.9378859996795654,1.0838500261306763,0.14596402645111084,0,0.0,0,0,0,
ENG-Premier League,2425,Manchester United v Fulham,Manchester United,Casemiro,2024,26602,DMC,7,90,0,0,3,0.10960587114095688,0.9763396978378296,0.15693806111812592,0,0.7596358060836792,3,0,0,
