Source,File,Rows,Columns,Size_KB
UNDERSTAT,02_team_match_stats.csv,850,29,213.86
UNDERSTAT,03_shot_events.csv,22547,21,5202.18
UNDERSTAT,01_matches_xG.csv,1140,20,213.14
UNDERSTAT,04_player_season_stats.csv,1573,23,267.45
UNDERSTAT,05_player_match_stats.csv,25713,24,4568.74
FBREF,04_player_season_goal_shot_creation.csv,1156,25,123.66
FBREF,04_player_season_shooting.csv,1156,26,146.03
FBREF,02_team_season_shooting.csv,42,23,6.69
FBREF,04_player_season_keeper.csv,86,27,10.42
FBREF,04_player_season_playing_time.csv,1450,30,193.97
FBREF,04_player_season_possession.csv,1156,31,160.59
FBREF,02_team_season_misc.csv,42,22,6.01
FBREF,04_player_season_standard.csv,1156,37,188.79
FBREF,02_team_season_standard.csv,42,35,8.89
FBREF,02_team_season_goal_shot_creation.csv,42,22,5.85
FBREF,02_team_season_playing_time.csv,42,26,7.18
FBREF,04_player_season_keeper_adv.csv,86,34,13.88
FBREF,02_team_season_possession.csv,42,29,8.36
FBREF,04_player_season_defense.csv,1156,25,125.74
FBREF,01_schedule.csv,760,18,181.27
FBREF,04_player_season_misc.csv,1156,25,123.93
FBREF,02_team_season_passing_types.csv,42,21,6.22
FBREF,02_team_season_defense.csv,42,22,6.32
FBREF,02_team_season_keeper.csv,42,24,6.22
FBREF,04_player_season_passing_types.csv,1156,24,123.43
FBREF,02_team_season_keeper_adv.csv,42,31,7.84
FBREF,02_team_season_passing.csv,42,29,8.28
FBREF,04_player_season_passing.csv,1156,32,174.13
FBREF,03_team_match_schedule.csv,1520,23,396.81
FOTMOB,01_schedule.csv,1141,13,234.98
MATCHHISTORY,01_match_history_odds.csv,840,163,498.38
ESPN,01_schedule.csv,1140,8,144.79
