,,,players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,25,38,610,348,257,246,107,271,543,49.9,272,412,106,306,292,902,515,18,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
ENG-Premier League,2324,Aston Villa,31,38,547,311,269,210,68,260,550,47.3,290,389,113,276,236,783,597,13,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
ENG-Premier League,2324,Bournemouth,30,38,693,410,301,281,111,325,688,47.2,363,504,153,351,357,1050,817,16,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
ENG-Premier League,2324,Brentford,28,38,677,399,349,250,78,317,697,45.5,380,474,142,332,378,1055,903,18,/en/squads/cd051869/2023-2024/Brentford-Stats
ENG-Premier League,2324,Brighton,30,38,644,366,292,252,100,307,658,46.7,351,437,140,297,288,932,603,21,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2324,Burnley,31,38,607,342,282,247,78,284,584,48.6,300,477,169,308,280,887,837,22,/en/squads/943e8050/2023-2024/Burnley-Stats
ENG-Premier League,2324,Chelsea,32,38,663,376,325,235,103,323,630,51.3,307,448,166,282,298,961,785,24,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
ENG-Premier League,2324,Crystal Palace,26,38,788,464,373,301,114,337,609,55.3,272,456,122,334,323,1111,927,6,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
ENG-Premier League,2324,Everton,26,38,743,442,371,261,111,347,701,49.5,354,479,177,302,358,1101,882,12,/en/squads/d3fd31cc/2023-2024/Everton-Stats
ENG-Premier League,2324,Fulham,25,38,679,384,339,260,80,346,678,51.0,332,437,117,320,371,1050,744,14,/en/squads/fd962109/2023-2024/Fulham-Stats
ENG-Premier League,2324,Liverpool,30,38,677,418,274,290,113,341,768,44.4,427,475,108,367,292,969,583,19,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
ENG-Premier League,2324,Luton Town,28,38,654,368,330,236,88,299,616,48.5,317,493,183,310,325,979,916,21,/en/squads/e297cd13/2023-2024/Luton-Town-Stats
ENG-Premier League,2324,Manchester City,25,38,517,305,183,221,113,222,458,48.5,236,353,75,278,233,750,457,17,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
ENG-Premier League,2324,Manchester Utd,31,38,676,409,334,240,102,349,715,48.8,366,534,207,327,313,989,884,12,/en/squads/19538871/2023-2024/Manchester-United-Stats
ENG-Premier League,2324,Newcastle Utd,32,38,661,391,316,254,91,302,681,44.3,379,497,151,346,285,946,682,16,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
ENG-Premier League,2324,Nott'ham Forest,33,38,728,430,437,219,72,326,609,53.5,283,489,168,321,331,1059,968,13,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
ENG-Premier League,2324,Sheffield Utd,35,38,709,405,375,248,86,299,635,47.1,336,514,180,334,348,1057,1042,18,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
ENG-Premier League,2324,Tottenham,29,38,724,451,335,264,125,360,691,52.1,331,445,132,313,355,1079,707,24,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
ENG-Premier League,2324,West Ham,26,38,684,426,350,254,80,307,607,50.6,300,487,180,307,361,1045,906,9,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
ENG-Premier League,2324,Wolves,27,38,739,430,415,247,77,312,607,51.4,295,506,173,333,284,1023,828,16,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
ENG-Premier League,2425,Arsenal,25,38,598,348,220,249,129,260,515,50.5,255,328,106,222,225,823,680,33,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,28,38,637,372,293,249,95,310,546,56.8,236,329,107,222,240,877,788,43,/en/squads/8602292d/2024-2025/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,29,38,691,399,290,299,102,301,627,48.0,326,459,136,323,351,1042,1013,22,/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
ENG-Premier League,2425,Brentford,28,38,633,380,289,223,121,314,596,52.7,282,480,199,281,285,918,1040,28,/en/squads/cd051869/2024-2025/Brentford-Stats
ENG-Premier League,2425,Brighton,32,38,705,431,287,297,121,350,703,49.8,353,439,122,317,315,1020,762,29,/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,29,38,588,371,243,244,101,273,536,50.9,263,356,103,253,272,860,695,45,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,29,38,767,450,374,300,93,324,643,50.4,319,485,144,341,334,1101,1088,19,/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,26,38,732,433,366,269,97,338,656,51.5,318,392,138,254,345,1077,1088,25,/en/squads/d3fd31cc/2024-2025/Everton-Stats
ENG-Premier League,2425,Fulham,26,38,679,411,327,259,93,289,565,51.2,276,382,113,269,302,981,914,33,/en/squads/fd962109/2024-2025/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,32,38,589,340,294,214,81,281,604,46.5,323,436,185,251,303,892,1102,39,/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,32,38,728,431,361,278,89,336,695,48.3,359,505,198,307,327,1055,987,31,/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,24,38,642,391,271,267,104,340,656,51.8,316,367,97,270,299,941,724,31,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
ENG-Premier League,2425,Manchester City,30,38,497,299,183,216,98,214,449,47.7,235,331,89,242,229,726,619,35,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,31,38,817,493,394,305,118,400,723,55.3,323,386,107,279,358,1175,759,26,/en/squads/19538871/2024-2025/Manchester-United-Stats
ENG-Premier League,2425,Newcastle Utd,24,38,603,371,275,235,93,306,604,50.7,298,411,141,270,270,873,884,34,/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats
ENG-Premier League,2425,Nott'ham Forest,23,38,698,419,406,225,67,343,670,51.2,327,427,157,270,322,1020,1220,24,/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,36,38,652,378,310,266,76,280,584,47.9,304,433,201,232,305,957,988,51,/en/squads/33c895d4/2024-2025/Southampton-Stats
ENG-Premier League,2425,Tottenham,31,38,661,414,285,271,105,296,598,49.5,302,448,159,289,322,983,821,41,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham,27,38,654,388,317,253,84,290,532,54.5,242,440,169,271,331,985,1037,28,/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,32,38,801,471,412,305,84,373,669,55.8,296,437,137,300,298,1099,947,25,/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats
