,,,players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,2,38,29,2,1,6,1,24.1,0.26,-3.9,-0.1,157,441,35.6,1058,189,35.1,30.7,195,35.9,31.1,375,48,12.8,59,1.55,17.9,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
ENG-Premier League,2324,Aston Villa,2,38,61,1,1,10,4,61.7,0.35,4.7,0.12,136,380,35.8,1386,176,21.8,27.1,246,31.7,29.5,419,51,12.2,70,1.84,8.4,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
ENG-Premier League,2324,Bournemouth,3,38,67,6,1,6,1,63.2,0.3,-2.8,-0.07,199,581,34.3,976,177,44.0,41.7,266,57.1,43.9,492,31,6.3,37,0.97,14.8,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
ENG-Premier League,2324,Brentford,2,38,65,2,0,6,0,57.0,0.3,-8.0,-0.21,254,677,37.5,1330,136,37.1,35.8,318,57.5,44.9,605,46,7.6,38,1.0,10.0,/en/squads/cd051869/2023-2024/Brentford-Stats
ENG-Premier League,2324,Brighton,2,38,62,6,1,8,2,51.1,0.28,-8.9,-0.23,102,274,37.2,1278,186,20.3,24.4,254,5.9,12.0,405,24,5.9,72,1.89,15.8,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2324,Burnley,2,38,78,6,0,11,3,75.8,0.29,0.8,0.02,215,825,26.1,1826,216,35.6,34.3,284,61.6,44.7,562,50,8.9,74,1.95,17.2,/en/squads/943e8050/2023-2024/Burnley-Stats
ENG-Premier League,2324,Chelsea,2,38,63,3,0,8,3,52.5,0.27,-7.5,-0.2,128,361,35.5,1129,184,22.5,27.8,282,37.9,32.6,514,39,7.6,47,1.24,12.7,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
ENG-Premier League,2324,Crystal Palace,3,38,58,3,0,7,2,47.5,0.29,-8.5,-0.22,176,605,29.1,826,115,51.8,41.2,255,69.4,49.2,586,30,5.1,29,0.76,11.2,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
ENG-Premier League,2324,Everton,1,38,51,8,0,9,3,52.4,0.28,4.4,0.12,360,901,40.0,1296,141,56.7,41.6,274,60.6,48.2,570,30,5.3,54,1.42,15.9,/en/squads/d3fd31cc/2023-2024/Everton-Stats
ENG-Premier League,2324,Fulham,1,38,61,8,2,3,4,55.7,0.26,-1.3,-0.03,144,439,32.8,1272,167,25.5,28.5,301,38.2,33.0,472,19,4.0,40,1.05,14.2,/en/squads/fd962109/2023-2024/Fulham-Stats
ENG-Premier League,2324,Liverpool,2,38,41,1,0,7,2,40.0,0.27,1.0,0.03,92,285,32.3,1348,192,17.0,24.7,228,24.6,27.5,376,18,4.8,46,1.21,17.7,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
ENG-Premier League,2324,Luton Town,2,38,85,4,0,13,4,77.7,0.34,-3.3,-0.09,274,814,33.7,1122,151,52.4,50.8,349,64.8,46.8,561,16,2.9,77,2.03,19.0,/en/squads/e297cd13/2023-2024/Luton-Town-Stats
ENG-Premier League,2324,Manchester City,2,38,34,3,0,3,1,36.2,0.31,3.2,0.08,142,314,45.2,1342,161,19.7,27.9,158,31.0,31.9,312,31,9.9,63,1.66,16.8,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
ENG-Premier League,2324,Manchester Utd,1,38,58,7,1,11,1,59.7,0.27,2.7,0.07,149,513,29.0,1184,140,35.4,31.2,329,28.6,26.0,601,42,7.0,37,0.97,12.9,/en/squads/19538871/2023-2024/Manchester-United-Stats
ENG-Premier League,2324,Newcastle Utd,3,38,62,4,1,8,1,61.1,0.29,0.1,0.0,100,301,33.2,803,236,18.8,36.3,281,53.4,40.5,449,30,6.7,53,1.39,19.5,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
ENG-Premier League,2324,Nott'ham Forest,3,38,67,4,1,15,2,47.0,0.27,-18.0,-0.47,229,519,44.1,818,171,42.5,35.7,304,56.3,41.4,610,44,7.2,24,0.63,13.3,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
ENG-Premier League,2324,Sheffield Utd,2,38,104,5,0,12,7,85.1,0.31,-11.9,-0.31,270,817,33.0,989,126,55.2,41.2,352,77.0,53.9,661,39,5.9,56,1.47,14.4,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
ENG-Premier League,2324,Tottenham,1,38,61,7,1,8,3,60.0,0.32,2.0,0.05,53,225,23.6,1308,193,14.9,24.0,256,11.7,19.4,511,33,6.5,81,2.13,17.1,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
ENG-Premier League,2324,West Ham,2,38,74,8,0,6,4,72.0,0.26,2.0,0.05,210,553,38.0,793,188,46.8,39.0,307,59.3,43.4,582,35,6.0,8,0.21,7.6,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
ENG-Premier League,2324,Wolves,2,38,65,8,1,7,1,71.7,0.32,7.7,0.2,100,480,20.8,933,199,34.3,33.8,305,52.5,40.0,572,45,7.9,31,0.82,13.3,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
ENG-Premier League,2425,Arsenal,1,38,34,3,2,8,0,35.1,0.28,1.1,0.03,149,478,31.2,1210,178,31.2,29.9,200,50.0,38.6,402,53,13.2,66,1.74,17.2,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,2,38,51,2,1,2,0,52.1,0.32,1.1,0.03,181,474,38.2,1182,133,29.5,35.9,299,41.8,35.1,538,59,11.0,35,0.92,8.6,/en/squads/8602292d/2024-2025/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,3,38,46,4,1,5,0,54.8,0.3,8.8,0.23,174,465,37.4,960,158,35.2,36.8,266,47.7,39.4,460,25,5.4,62,1.63,12.6,/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
ENG-Premier League,2425,Brentford,2,38,57,1,0,2,3,53.3,0.26,-0.7,-0.02,264,697,37.9,1453,129,36.3,34.9,327,51.7,41.3,597,48,8.0,34,0.89,4.7,/en/squads/cd051869/2024-2025/Brentford-Stats
ENG-Premier League,2425,Brighton,2,38,59,9,1,4,2,51.5,0.3,-5.5,-0.15,129,402,32.1,1178,129,29.3,25.1,243,23.5,23.1,436,29,6.7,50,1.32,15.4,/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,2,38,43,5,0,5,0,45.0,0.26,2.0,0.05,105,457,23.0,1207,209,34.5,24.1,224,17.9,20.9,423,49,11.6,59,1.55,13.2,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,1,38,51,1,1,5,3,51.2,0.35,3.2,0.08,157,600,26.2,922,115,48.5,38.5,293,52.2,42.4,559,30,5.4,40,1.05,14.3,/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
