,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2
ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,25,1997,33.2,48,28,20,22,6,26,58,44.8,32,48,22,26,32,80,77,1
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,21,2001,32.4,66,35,22,24,20,26,59,44.1,33,43,2,41,15,81,24,1
ENG-Premier League,2324,Arsenal,Cédric Soares,POR,DF,31,1991,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,27,1995,32.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,8,5
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,24,1999,35.8,83,51,37,38,8,32,57,56.1,25,37,11,26,44,127,52,0
ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24,1999,12.0,12,7,2,6,4,2,7,28.6,5,11,0,11,4,16,4,0
ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23,2000,3.9,4,1,2,2,0,2,4,50.0,2,3,1,2,3,7,1,0
ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,FW,16,2007,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,"MF,FW",23,2000,3.3,3,2,2,0,1,3,3,100.0,0,0,0,0,2,5,2,0
ENG-Premier League,2324,Arsenal,Gabriel Jesus,BRA,FW,26,1997,16.4,24,17,11,5,8,5,18,27.8,13,23,1,22,13,37,12,0
ENG-Premier League,2324,Arsenal,Gabriel Magalhães,BRA,DF,25,1997,33.8,48,28,24,22,2,17,22,77.3,5,44,33,11,31,79,100,1
ENG-Premier League,2324,Arsenal,Gabriel Martinelli,BRA,FW,22,2001,22.4,30,24,9,12,9,13,32,40.6,19,23,1,22,5,35,9,1
ENG-Premier League,2324,Arsenal,Jakub Kiwior,POL,DF,23,2000,10.5,20,12,11,8,1,14,19,73.7,5,11,3,8,8,28,28,1
ENG-Premier League,2324,Arsenal,Jorginho,ITA,MF,31,1991,10.2,24,10,6,10,8,11,23,47.8,12,17,1,16,12,36,7,1
ENG-Premier League,2324,Arsenal,Jurriën Timber,NED,DF,22,2001,0.8,2,2,1,1,0,0,0,,0,1,0,1,0,2,1,0
ENG-Premier League,2324,Arsenal,Kai Havertz,GER,"MF,FW",24,1999,29.3,35,15,7,21,7,14,39,35.9,25,26,1,25,20,55,22,0
ENG-Premier League,2324,Arsenal,Leandro Trossard,BEL,"FW,MF",28,1994,18.3,27,16,8,9,10,9,25,36.0,16,27,1,26,8,35,6,0
