,,,,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6.0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,
ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,25,1997,33.2,8,0,0,19,12,11,57,32,28,0,0,0,120,36,22,62.1
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,21,2001,32.4,4,0,0,41,69,8,181,15,35,1,0,0,155,23,36,39.0
ENG-Premier League,2324,Arsenal,Cédric Soares,POR,DF,31,1991,0.7,0,0,0,0,1,0,4,0,0,0,0,0,3,0,1,0.0
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,27,1995,32.0,2,0,0,0,4,0,0,0,1,0,0,0,38,5,1,83.3
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,24,1999,35.8,5,0,0,34,13,2,60,44,51,0,2,0,178,39,43,47.6
ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24,1999,12.0,3,0,0,24,28,8,5,4,7,2,0,0,24,23,27,46.0
ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23,2000,3.9,0,0,0,5,2,0,1,3,1,0,0,0,15,3,5,37.5
ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,FW,16,2007,0.2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100.0
ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,"MF,FW",23,2000,3.3,0,1,0,8,10,2,15,2,2,2,0,0,16,1,0,100.0
ENG-Premier League,2324,Arsenal,Gabriel Jesus,BRA,FW,26,1997,16.4,6,0,0,26,32,16,9,13,17,1,0,0,59,15,38,28.3
ENG-Premier League,2324,Arsenal,Gabriel Magalhães,BRA,DF,25,1997,33.8,4,0,0,35,34,1,4,31,28,0,0,1,136,77,62,55.4
ENG-Premier League,2324,Arsenal,Gabriel Martinelli,BRA,FW,22,2001,22.4,1,0,0,23,24,9,109,5,24,0,0,0,95,15,26,36.6
ENG-Premier League,2324,Arsenal,Jakub Kiwior,POL,DF,23,2000,10.5,1,0,0,10,3,0,12,8,12,0,0,0,35,15,11,57.7
ENG-Premier League,2324,Arsenal,Jorginho,ITA,MF,31,1991,10.2,1,0,0,9,15,0,3,12,10,0,0,0,49,7,7,50.0
