Player,Team,Goals,Assists,Penalties,Nationality,Position,Season
Erling Haaland,Manchester City FC,11,1.0,,Norway,,2025
Antoine Semenyo,AFC Bournemouth,6,3.0,1.0,Ghana,,2025
Thiago Rodrigues,Brentford FC,6,,2.0,Brazil,,2025
Jean-Philippe Mateta,Crystal Palace FC,5,,2.0,France,,2025
Danny Welbeck,Brighton & Hove Albion FC,5,,,England,,2025
Wilson Isidor,Sunderland AFC,4,,,France,,2025
Jaidon Anthony,Burnley FC,4,1.0,,England,,2025
Bryan Mbeumo,Manchester United FC,4,1.0,,Cameroon,,2025
Nick Woltemade,Newcastle United FC,4,,1.0,Germany,,2025
Eli Kroupi,AFC Bournemouth,4,,,France,,2025
