Name,Short Name,tla,Crest,Address,Website,Founded,Club Colors,Venue,Season
Arsenal FC,Arsenal,ARS,https://crests.football-data.org/57.png,75 Drayton Park London N5 1BU,http://www.arsenal.com,1886,Red / White,Emirates Stadium,2024
Aston Villa FC,Aston Villa,AVL,https://crests.football-data.org/58.png,Villa Park Birmingham B6 6HE,http://www.avfc.co.uk,1872,Claret / Sky Blue,Villa Park,2024
Chelsea FC,Chelsea,CHE,https://crests.football-data.org/61.png,Fulham Road London SW6 1HS,http://www.chelseafc.com,1905,Royal Blue / White,Stamford Bridge,2024
Everton FC,Everton,EVE,https://crests.football-data.org/62.png,Goodison Park Liverpool L4 4EL,http://www.evertonfc.com,1878,Blue / White,Goodison Park,2024
Fulham FC,Fulham,FUL,https://crests.football-data.org/63.png,"Craven Cottage, Stevenage Road London SW6 6HH",http://www.fulhamfc.com,1879,White / Black,Craven Cottage,2024
Liverpool FC,Liverpool,LIV,https://crests.football-data.org/64.png,Anfield Road Liverpool L4 0TH,http://www.liverpoolfc.tv,1892,Red / White,Anfield,2024
Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2024
Manchester United FC,Man United,MUN,https://crests.football-data.org/66.png,Sir Matt Busby Way Manchester M16 0RA,http://www.manutd.com,1878,Red / White,Old Trafford,2024
Newcastle United FC,Newcastle,NEW,https://crests.football-data.org/67.png,Sports Direct Arena Newcastle upon Tyne NE1 4ST,http://www.nufc.co.uk,1881,Black / White,St. James' Park,2024
Tottenham Hotspur FC,Tottenham,TOT,https://crests.football-data.org/73.png,"Bill Nicholson Way, 748 High Road London N17 0AP",http://www.tottenhamhotspur.com,1882,Navy Blue / White,Tottenham Hotspur Stadium,2024
Wolverhampton Wanderers FC,Wolverhampton,WOL,https://crests.football-data.org/76.png,Waterloo Road Wolverhampton WV1 4QR,http://www.wolves.co.uk,1877,Black / Gold,Molineux Stadium,2024
Leicester City FC,Leicester City,LEI,https://crests.football-data.org/338.png,"The Walkers Stadium, Filbert Way Leicester LE2 7FL",http://www.lcfc.com,1884,Royal Blue / White,King Power Stadium,2024
Southampton FC,Southampton,SOU,https://crests.football-data.org/340.png,Britannia Road Southampton SO14 5FP,http://www.saintsfc.co.uk,1885,Red / White / Black,St. Mary's Stadium,2024
Ipswich Town FC,Ipswich Town,IPS,https://crests.football-data.org/349.png,Portman Road Ipswich IP1 2DA,http://www.itfc.co.uk,1887,Blue / White,Portman Road Stadium,2024
Nottingham Forest FC,Nottingham,NOT,https://crests.football-data.org/351.png,"Pavilion Road, West Bridgeford Nottingham NG2 5GJ",http://www.nottinghamforest.co.uk,1865,Red / White,The City Ground,2024
Crystal Palace FC,Crystal Palace,CRY,https://crests.football-data.org/354.png,Whitehorse Lane London SE25 6PU,http://www.cpfc.co.uk,1905,Red / Blue,Selhurst Park,2024
Brighton & Hove Albion FC,Brighton Hove,BHA,https://crests.football-data.org/397.png,44 North Road Brighton & Hove BN1 1YR,http://www.seagulls.co.uk,1898,Blue / White,The American Express Community Stadium,2024
Brentford FC,Brentford,BRE,https://crests.football-data.org/402.png,Braemar Road Brentford TW8 0NT,http://www.brentfordfc.co.uk,1889,Red / White / Black,Griffin Park,2024
West Ham United FC,West Ham,WHU,https://crests.football-data.org/563.png,"Queen Elizabeth Olympic Park, London London E20 2ST",http://www.whufc.com,1895,Claret / Sky Blue,London Stadium,2024
AFC Bournemouth,Bournemouth,BOU,https://crests.football-data.org/bournemouth.png,"Dean Court, Kings Park Bournemouth BH7 7AF",http://www.afcb.co.uk,1890,Red / Black,Vitality Stadium,2024
