id,name,shortName,tla,crest,address,website,founded,clubColors,venue,season
57,Arsenal FC,Arsenal,ARS,https://crests.football-data.org/57.png,75 Drayton Park London N5 1BU,http://www.arsenal.com,1886.0,Red / White,Emirates Stadium,2023
58,Aston Villa FC,Aston Villa,AVL,https://crests.football-data.org/58.png,Villa Park Birmingham B6 6HE,http://www.avfc.co.uk,1872.0,Claret / Sky Blue,Villa Park,2023
61,Chelsea FC,Chelsea,CHE,https://crests.football-data.org/61.png,Fulham Road London SW6 1HS,http://www.chelseafc.com,1905.0,Royal Blue / White,Stamford Bridge,2023
62,Everton FC,Everton,EVE,https://crests.football-data.org/62.png,Goodison Park Liverpool L4 4EL,http://www.evertonfc.com,1878.0,Blue / White,Goodison Park,2023
63,Fulham FC,Fulham,FUL,https://crests.football-data.org/63.png,"Craven Cottage, Stevenage Road London SW6 6HH",http://www.fulhamfc.com,1879.0,White / Black,Craven Cottage,2023
64,Liverpool FC,Liverpool,LIV,https://crests.football-data.org/64.png,Anfield Road Liverpool L4 0TH,http://www.liverpoolfc.tv,1892.0,Red / White,Anfield,2023
65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880.0,Sky Blue / White,Etihad Stadium,2023
66,Manchester United FC,Man United,MUN,https://crests.football-data.org/66.png,Sir Matt Busby Way Manchester M16 0RA,http://www.manutd.com,1878.0,Red / White,Old Trafford,2023
67,Newcastle United FC,Newcastle,NEW,https://crests.football-data.org/67.png,Sports Direct Arena Newcastle upon Tyne NE1 4ST,http://www.nufc.co.uk,1881.0,Black / White,St. James' Park,2023
73,Tottenham Hotspur FC,Tottenham,TOT,https://crests.football-data.org/73.png,"Bill Nicholson Way, 748 High Road London N17 0AP",http://www.tottenhamhotspur.com,1882.0,Navy Blue / White,Tottenham Hotspur Stadium,2023
76,Wolverhampton Wanderers FC,Wolverhampton,WOL,https://crests.football-data.org/76.png,Waterloo Road Wolverhampton WV1 4QR,http://www.wolves.co.uk,1877.0,Black / Gold,Molineux Stadium,2023
328,Burnley FC,Burnley,BUR,https://crests.football-data.org/328.png,Harry Potts Way Burnley BB10 4BX,http://www.burnleyfootballclub.com,1881.0,Claret / Sky Blue,Turf Moor,2023
351,Nottingham Forest FC,Nottingham,NOT,https://crests.football-data.org/351.png,"Pavilion Road, West Bridgeford Nottingham NG2 5GJ",http://www.nottinghamforest.co.uk,1865.0,Red / White,The City Ground,2023
354,Crystal Palace FC,Crystal Palace,CRY,https://crests.football-data.org/354.png,Whitehorse Lane London SE25 6PU,http://www.cpfc.co.uk,1905.0,Red / Blue,Selhurst Park,2023
356,Sheffield United FC,Sheffield Utd,SHE,https://crests.football-data.org/356.png,"Bramall Lane Sheffield, Yorkshire S2 4SU",http://www.sufc.co.uk,,Red / White / Black,Bramall Lane,2023
389,Luton Town FC,Luton Town,LUT,https://crests.football-data.org/389.png,1 Maple Road Luton LU4 8AW,http://www.lutontown.co.uk,1885.0,White / Navy Blue / Orange,Kenilworth Road Stadium,2023
397,Brighton & Hove Albion FC,Brighton Hove,BHA,https://crests.football-data.org/397.png,44 North Road Brighton & Hove BN1 1YR,http://www.seagulls.co.uk,1898.0,Blue / White,The American Express Community Stadium,2023
402,Brentford FC,Brentford,BRE,https://crests.football-data.org/402.png,Braemar Road Brentford TW8 0NT,http://www.brentfordfc.co.uk,1889.0,Red / White / Black,Griffin Park,2023
563,West Ham United FC,West Ham,WHU,https://crests.football-data.org/563.png,"Queen Elizabeth Olympic Park, London London E20 2ST",http://www.whufc.com,1895.0,Claret / Sky Blue,London Stadium,2023
