player_name,player_id,team,team_id,goals,assists,penalties,nationality,position,season
Mohamed Salah,3754,Liverpool FC,64,29,17,9.0,Egypt,,2024
Alexander Isak,6486,Newcastle United FC,67,23,6,4.0,Sweden,,2024
Erling Haaland,38101,Manchester City FC,65,22,3,3.0,Norway,,2024
Chris Wood,8057,Nottingham Forest FC,351,20,3,3.0,New Zealand,,2024
Bryan Mbeumo,8626,Brentford FC,402,20,8,5.0,Cameroon,,2024
Yoane Wissa,612,Brentford FC,402,18,4,,DR Congo,,2024
Ollie Watkins,4444,Aston Villa FC,58,16,7,2.0,England,,2024
Matheus Cunha,30842,Wolverhampton Wanderers FC,76,15,7,,Brazil,,2024
Cole Palmer,144892,Chelsea FC,61,15,8,4.0,England,,2024
Jørgen Strand Larsen,213269,Wolverhampton Wanderers FC,76,14,4,,Norway,,2024
