player_name,player_id,team,team_id,goals,assists,penalties,nationality,position,season
Erling Haaland,38101,Manchester City FC,65,27,6.0,7.0,Norway,,2023
Cole Palmer,144892,Chelsea FC,61,22,12.0,9.0,England,,2023
Alexander Isak,6486,Newcastle United FC,67,21,2.0,5.0,Sweden,,2023
Dominic Solanke,7878,AFC Bournemouth,1044,19,3.0,2.0,England,,2023
Phil Foden,7888,Manchester City FC,65,19,8.0,,England,,2023
Ollie Watkins,4444,Aston Villa FC,58,19,13.0,,England,,2023
Mohamed Salah,3754,Liverpool FC,64,18,11.0,5.0,Egypt,,2023
Heung-min Son,170281,Tottenham Hotspur FC,73,17,10.0,2.0,South Korea,,2023
Bukayo Saka,99813,Arsenal FC,57,16,9.0,6.0,England,,2023
Jarrod Bowen,11414,West Ham United FC,563,16,6.0,,England,,2023
Mohamed Salah,3754,Liverpool FC,64,29,17.0,9.0,Egypt,,2024
Alexander Isak,6486,Newcastle United FC,67,23,6.0,4.0,Sweden,,2024
Erling Haaland,38101,Manchester City FC,65,22,3.0,3.0,Norway,,2024
Chris Wood,8057,Nottingham Forest FC,351,20,3.0,3.0,New Zealand,,2024
Bryan Mbeumo,8626,Brentford FC,402,20,8.0,5.0,Cameroon,,2024
Yoane Wissa,612,Brentford FC,402,18,4.0,,DR Congo,,2024
Ollie Watkins,4444,Aston Villa FC,58,16,7.0,2.0,England,,2024
Matheus Cunha,30842,Wolverhampton Wanderers FC,76,15,7.0,,Brazil,,2024
Cole Palmer,144892,Chelsea FC,61,15,8.0,4.0,England,,2024
Jørgen Strand Larsen,213269,Wolverhampton Wanderers FC,76,14,4.0,,Norway,,2024
Erling Haaland,38101,Manchester City FC,65,11,1.0,,Norway,,2025
Antoine Semenyo,4417,AFC Bournemouth,1044,6,3.0,1.0,Ghana,,2025
Thiago Rodrigues,175994,Brentford FC,402,6,,2.0,Brazil,,2025
Jean-Philippe Mateta,641,Crystal Palace FC,354,5,,2.0,France,,2025
Danny Welbeck,3328,Brighton & Hove Albion FC,397,5,,,England,,2025
Wilson Isidor,83599,Sunderland AFC,71,4,,,France,,2025
Jaidon Anthony,150778,Burnley FC,328,4,1.0,,England,,2025
Bryan Mbeumo,8626,Manchester United FC,66,4,1.0,,Cameroon,,2025
Nick Woltemade,133547,Newcastle United FC,67,4,,1.0,Germany,,2025
Eli Kroupi,204241,AFC Bournemouth,1044,4,,,France,,2025
