join_key,match_id,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,season,Match,home_team_shortened,referee,matchday
2023-08-11_Burnley,22275,2023-08-11,Burnley,Manchester City,0,3,0.311032,2.40074,2023,Burnley v Manchester City,Burnley,Craig Pawson,1
2023-08-12_Arsenal,22276,2023-08-12,Arsenal,Nottingham Forest,2,1,0.84262,0.966305,2023,Arsenal v Nottingham Forest,Arsenal,Michael Oliver,1
2023-08-12_Bournemouth,22277,2023-08-12,Bournemouth,West Ham,1,1,1.51025,1.4834,2023,Bournemouth v West Ham,Bournemouth,Peter Bankes,1
2023-08-12_Brighton,22278,2023-08-12,Brighton,Luton,4,1,4.36748,1.88594,2023,Brighton v Luton,Brighton,David Coote,1
2023-08-12_Everton,22279,2023-08-12,Everton,Fulham,0,1,2.59001,1.58144,2023,Everton v Fulham,Everton,Stuart Attwell,1
2023-08-12_Sheffield,22280,2023-08-12,Sheffield United,Crystal Palace,0,1,0.422704,2.27616,2023,Sheffield United v Crystal Palace,Sheffield,John Brooks,1
2023-08-12_Newcastle,22281,2023-08-12,Newcastle United,Aston Villa,5,1,4.32208,1.486,2023,Newcastle United v Aston Villa,Newcastle,Andy Madley,1
2023-08-13_Brentford,22282,2023-08-13,Brentford,Tottenham,2,2,1.90756,1.45316,2023,Brentford v Tottenham,Brentford,Robert Jones,1
2023-08-13_Chelsea,22283,2023-08-13,Chelsea,Liverpool,1,1,1.93258,1.29994,2023,Chelsea v Liverpool,Chelsea,Anthony Taylor,1
2023-08-14_Manchester,22284,2023-08-14,Manchester United,Wolverhampton Wanderers,1,0,1.97087,1.72228,2023,Manchester United v Wolverhampton Wanderers,Manchester,Simon Hooper,1
2023-08-18_Nottingham,22285,2023-08-18,Nottingham Forest,Sheffield United,2,1,1.37181,0.551038,2023,Nottingham Forest v Sheffield United,Nottingham,Peter Bankes,2
2023-08-19_Wolverhampton,22286,2023-08-19,Wolverhampton Wanderers,Brighton,1,4,2.68821,3.15562,2023,Wolverhampton Wanderers v Brighton,Wolverhampton,Andy Madley,2
2023-08-19_Fulham,22287,2023-08-19,Fulham,Brentford,0,3,0.399899,3.46888,2023,Fulham v Brentford,Fulham,Darren Bond,2
2023-08-19_Liverpool,22288,2023-08-19,Liverpool,Bournemouth,3,1,3.25448,1.3867,2023,Liverpool v Bournemouth,Liverpool,Thomas Bramall,2
2023-08-19_Tottenham,22290,2023-08-19,Tottenham,Manchester United,2,0,2.53904,2.44604,2023,Tottenham v Manchester United,Tottenham,Michael Oliver,2
2023-08-19_Manchester,22291,2023-08-19,Manchester City,Newcastle United,1,0,1.22528,0.257154,2023,Manchester City v Newcastle United,Manchester,Robert Jones,2
2023-08-20_Aston,22292,2023-08-20,Aston Villa,Everton,4,0,3.24336,0.721465,2023,Aston Villa v Everton,Aston,Anthony Taylor,2
2023-08-20_West,22293,2023-08-20,West Ham,Chelsea,3,1,1.71234,1.60916,2023,West Ham v Chelsea,West,John Brooks,2
2023-08-21_Crystal,22294,2023-08-21,Crystal Palace,Arsenal,0,1,1.06916,2.20593,2023,Crystal Palace v Arsenal,Crystal,David Coote,2
2023-08-25_Chelsea,22295,2023-08-25,Chelsea,Luton,3,0,3.41419,0.465741,2023,Chelsea v Luton,Chelsea,Robert Jones,3
2023-08-26_Bournemouth,22296,2023-08-26,Bournemouth,Tottenham,0,2,0.483582,2.26115,2023,Bournemouth v Tottenham,Bournemouth,Tim Robinson,3
2023-08-26_Arsenal,22297,2023-08-26,Arsenal,Fulham,2,2,3.23088,0.849817,2023,Arsenal v Fulham,Arsenal,Paul Tierney,3
2023-08-26_Brentford,22298,2023-08-26,Brentford,Crystal Palace,1,1,0.948011,1.06061,2023,Brentford v Crystal Palace,Brentford,Peter Bankes,3
2023-08-26_Everton,22299,2023-08-26,Everton,Wolverhampton Wanderers,0,1,1.89792,1.40228,2023,Everton v Wolverhampton Wanderers,Everton,Craig Pawson,3
2023-08-26_Manchester,22300,2023-08-26,Manchester United,Nottingham Forest,3,2,3.02803,0.960354,2023,Manchester United v Nottingham Forest,Manchester,Stuart Attwell,3
2023-08-26_Brighton,22301,2023-08-26,Brighton,West Ham,1,3,1.3743,2.9527,2023,Brighton v West Ham,Brighton,Anthony Taylor,3
2023-08-27_Burnley,22302,2023-08-27,Burnley,Aston Villa,1,3,0.630605,2.83691,2023,Burnley v Aston Villa,Burnley,Michael Salisbury,3
2023-08-27_Sheffield,22303,2023-08-27,Sheffield United,Manchester City,1,2,0.762232,3.84804,2023,Sheffield United v Manchester City,Sheffield,Jarred Gillett,3
2023-08-27_Newcastle,22304,2023-08-27,Newcastle United,Liverpool,1,2,1.62037,0.856121,2023,Newcastle United v Liverpool,Newcastle,John Brooks,3
2023-09-01_Luton,21925,2023-09-01,Luton,West Ham,1,2,2.02244,1.22528,2023,Luton v West Ham,Luton,Paul Tierney,4
2023-09-02_Sheffield,21926,2023-09-02,Sheffield United,Everton,2,2,1.575,2.73871,2023,Sheffield United v Everton,Sheffield,Andy Madley,4
2023-09-02_Manchester,21927,2023-09-02,Manchester City,Fulham,5,1,2.00152,1.46427,2023,Manchester City v Fulham,Manchester,Michael Oliver,4
2023-09-02_Brentford,21928,2023-09-02,Brentford,Bournemouth,2,2,3.07185,2.11013,2023,Brentford v Bournemouth,Brentford,Bobby Madley,4
2023-09-02_Burnley,21929,2023-09-02,Burnley,Tottenham,2,5,1.66604,2.39785,2023,Burnley v Tottenham,Burnley,Darren England,4
2023-09-02_Chelsea,21930,2023-09-02,Chelsea,Nottingham Forest,0,1,2.28442,1.1505,2023,Chelsea v Nottingham Forest,Chelsea,Tim Robinson,4
2023-09-02_Brighton,21931,2023-09-02,Brighton,Newcastle United,3,1,1.32258,0.90476,2023,Brighton v Newcastle United,Brighton,Stuart Attwell,4
2023-09-03_Crystal,21932,2023-09-03,Crystal Palace,Wolverhampton Wanderers,3,2,2.32935,1.13911,2023,Crystal Palace v Wolverhampton Wanderers,Crystal,Robert Jones,4
2023-09-03_Liverpool,21933,2023-09-03,Liverpool,Aston Villa,3,0,2.73138,0.615503,2023,Liverpool v Aston Villa,Liverpool,Simon Hooper,4
2023-09-03_Arsenal,21934,2023-09-03,Arsenal,Manchester United,3,1,1.90973,0.966109,2023,Arsenal v Manchester United,Arsenal,Anthony Taylor,4
2023-09-16_Wolverhampton,21935,2023-09-16,Wolverhampton Wanderers,Liverpool,1,3,0.538833,2.82701,2023,Wolverhampton Wanderers v Liverpool,Wolverhampton,Michael Oliver,5
2023-09-16_Tottenham,21936,2023-09-16,Tottenham,Sheffield United,2,1,2.15909,0.790655,2023,Tottenham v Sheffield United,Tottenham,Peter Bankes,5
2023-09-16_West,21937,2023-09-16,West Ham,Manchester City,1,3,0.895632,4.15046,2023,West Ham v Manchester City,West,Andy Madley,5
2023-09-16_Aston,21938,2023-09-16,Aston Villa,Crystal Palace,3,1,2.31518,1.11696,2023,Aston Villa v Crystal Palace,Aston,Darren England,5
2023-09-16_Fulham,21939,2023-09-16,Fulham,Luton,1,0,1.75704,1.45705,2023,Fulham v Luton,Fulham,Michael Salisbury,5
2023-09-16_Manchester,21940,2023-09-16,Manchester United,Brighton,1,3,0.719951,1.93908,2023,Manchester United v Brighton,Manchester,Jarred Gillett,5
2023-09-16_Newcastle,21943,2023-09-16,Newcastle United,Brentford,1,0,1.50126,0.633678,2023,Newcastle United v Brentford,Newcastle,Craig Pawson,5
2023-09-17_Bournemouth,21942,2023-09-17,Bournemouth,Chelsea,0,0,1.32515,1.39677,2023,Bournemouth v Chelsea,Bournemouth,David Coote,5
2023-09-17_Everton,21941,2023-09-17,Everton,Arsenal,0,1,0.28317,0.802605,2023,Everton v Arsenal,Everton,Simon Hooper,5
2023-09-18_Nottingham,21944,2023-09-18,Nottingham Forest,Burnley,1,1,0.705795,0.807651,2023,Nottingham Forest v Burnley,Nottingham,Robert Jones,5
2023-09-23_Luton,21945,2023-09-23,Luton,Wolverhampton Wanderers,1,1,2.24101,0.762984,2023,Luton v Wolverhampton Wanderers,Luton,Josh Smith,6
2023-09-23_Manchester,21946,2023-09-23,Manchester City,Nottingham Forest,2,0,1.33984,0.729109,2023,Manchester City v Nottingham Forest,Manchester,Anthony Taylor,6
2023-09-23_Crystal,21948,2023-09-23,Crystal Palace,Fulham,0,0,0.37236,0.542678,2023,Crystal Palace v Fulham,Crystal,Paul Tierney,6
2023-09-23_Brentford,21949,2023-09-23,Brentford,Everton,1,3,1.57402,2.51497,2023,Brentford v Everton,Brentford,Michael Oliver,6
2023-09-23_Burnley,21950,2023-09-23,Burnley,Manchester United,0,1,0.935444,0.840273,2023,Burnley v Manchester United,Burnley,Tony Harrington,6
2023-09-24_Chelsea,21947,2023-09-24,Chelsea,Aston Villa,0,1,1.19716,1.13479,2023,Chelsea v Aston Villa,Chelsea,Jarred Gillett,6
2023-09-24_Brighton,21951,2023-09-24,Brighton,Bournemouth,3,1,2.14533,1.58984,2023,Brighton v Bournemouth,Brighton,John Brooks,6
2023-09-24_Arsenal,21952,2023-09-24,Arsenal,Tottenham,2,2,2.3429,2.21166,2023,Arsenal v Tottenham,Arsenal,Robert Jones,6
2023-09-24_Liverpool,21953,2023-09-24,Liverpool,West Ham,3,1,4.14262,1.53878,2023,Liverpool v West Ham,Liverpool,Chris Kavanagh,6
2023-09-24_Sheffield,21954,2023-09-24,Sheffield United,Newcastle United,0,8,0.579392,5.1082,2023,Sheffield United v Newcastle United,Sheffield,Stuart Attwell,6
2023-09-30_Aston,21955,2023-09-30,Aston Villa,Brighton,6,1,1.90746,1.72819,2023,Aston Villa v Brighton,Aston,Andy Madley,7
2023-09-30_Everton,21956,2023-09-30,Everton,Luton,1,2,3.65377,1.5102,2023,Everton v Luton,Everton,Anthony Taylor,7
2023-09-30_Manchester,21957,2023-09-30,Manchester United,Crystal Palace,0,1,1.55408,1.19015,2023,Manchester United v Crystal Palace,Manchester,Chris Kavanagh,7
2023-09-30_Newcastle,21958,2023-09-30,Newcastle United,Burnley,2,0,3.08516,0.801849,2023,Newcastle United v Burnley,Newcastle,Thomas Bramall,7
2023-09-30_Bournemouth,21959,2023-09-30,Bournemouth,Arsenal,0,4,0.644443,4.0742,2023,Bournemouth v Arsenal,Bournemouth,Michael Salisbury,7
