join_key,match_id,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,season,Match,home_team_shortened
2025-08-15_Liverpool,28778,2025-08-15,Liverpool,Bournemouth,4,2,2.33007,1.57303,2025,Liverpool v Bournemouth,Liverpool
2025-08-16_Aston,28779,2025-08-16,Aston Villa,Newcastle United,0,0,0.318601,1.40098,2025,Aston Villa v Newcastle United,Aston
2025-08-16_Brighton,28780,2025-08-16,Brighton,Fulham,1,1,1.44008,0.902883,2025,Brighton v Fulham,Brighton
2025-08-16_Sunderland,28781,2025-08-16,Sunderland,West Ham,3,0,0.724368,0.558948,2025,Sunderland v West Ham,Sunderland
2025-08-16_Tottenham,28782,2025-08-16,Tottenham,Burnley,3,0,1.97858,0.734138,2025,Tottenham v Burnley,Tottenham
2025-08-16_Wolverhampton,28783,2025-08-16,Wolverhampton Wanderers,Manchester City,0,4,0.519436,2.29903,2025,Wolverhampton Wanderers v Manchester City,Wolverhampton
2025-08-17_Chelsea,28784,2025-08-17,Chelsea,Crystal Palace,0,0,1.36793,1.03414,2025,Chelsea v Crystal Palace,Chelsea
2025-08-17_Nottingham,28785,2025-08-17,Nottingham Forest,Brentford,3,1,1.7555,1.32516,2025,Nottingham Forest v Brentford,Nottingham
2025-08-17_Manchester,28786,2025-08-17,Manchester United,Arsenal,0,1,1.37653,1.3304,2025,Manchester United v Arsenal,Manchester
2025-08-18_Leeds,28787,2025-08-18,Leeds,Everton,1,0,2.3812,0.674338,2025,Leeds v Everton,Leeds
2025-08-22_West,28788,2025-08-22,West Ham,Chelsea,1,5,0.978572,3.94997,2025,West Ham v Chelsea,West
2025-08-23_Manchester,28789,2025-08-23,Manchester City,Tottenham,0,2,1.2475,1.28015,2025,Manchester City v Tottenham,Manchester
2025-08-23_Brentford,28790,2025-08-23,Brentford,Aston Villa,1,0,1.12964,0.976852,2025,Brentford v Aston Villa,Brentford
2025-08-23_Burnley,28791,2025-08-23,Burnley,Sunderland,2,0,1.00381,1.12127,2025,Burnley v Sunderland,Burnley
2025-08-23_Bournemouth,28792,2025-08-23,Bournemouth,Wolverhampton Wanderers,1,0,1.78462,0.373367,2025,Bournemouth v Wolverhampton Wanderers,Bournemouth
2025-08-23_Arsenal,28793,2025-08-23,Arsenal,Leeds,5,0,2.73761,0.156761,2025,Arsenal v Leeds,Arsenal
2025-08-24_Crystal,28794,2025-08-24,Crystal Palace,Nottingham Forest,1,1,1.10188,1.32987,2025,Crystal Palace v Nottingham Forest,Crystal
2025-08-24_Everton,28795,2025-08-24,Everton,Brighton,2,0,1.80116,2.08487,2025,Everton v Brighton,Everton
2025-08-24_Fulham,28796,2025-08-24,Fulham,Manchester United,1,1,1.65333,1.54603,2025,Fulham v Manchester United,Fulham
2025-08-25_Newcastle,28797,2025-08-25,Newcastle United,Liverpool,2,3,1.96342,0.646559,2025,Newcastle United v Liverpool,Newcastle
2025-08-30_Chelsea,28798,2025-08-30,Chelsea,Fulham,2,0,2.4324,0.736228,2025,Chelsea v Fulham,Chelsea
2025-08-30_Tottenham,28799,2025-08-30,Tottenham,Bournemouth,0,1,0.17067,2.1201,2025,Tottenham v Bournemouth,Tottenham
2025-08-30_Wolverhampton,28800,2025-08-30,Wolverhampton Wanderers,Everton,2,3,0.943257,2.03791,2025,Wolverhampton Wanderers v Everton,Wolverhampton
2025-08-30_Sunderland,28801,2025-08-30,Sunderland,Brentford,2,1,1.57127,1.44604,2025,Sunderland v Brentford,Sunderland
2025-08-30_Manchester,28802,2025-08-30,Manchester United,Burnley,3,2,4.02237,1.32618,2025,Manchester United v Burnley,Manchester
2025-08-30_Leeds,28803,2025-08-30,Leeds,Newcastle United,0,0,0.6773,0.303635,2025,Leeds v Newcastle United,Leeds
2025-08-31_Nottingham,28804,2025-08-31,Nottingham Forest,West Ham,0,3,0.716018,2.236,2025,Nottingham Forest v West Ham,Nottingham
2025-08-31_Brighton,28805,2025-08-31,Brighton,Manchester City,2,1,2.20864,2.13418,2025,Brighton v Manchester City,Brighton
2025-08-31_Liverpool,28806,2025-08-31,Liverpool,Arsenal,1,0,0.481404,0.485679,2025,Liverpool v Arsenal,Liverpool
2025-08-31_Aston,28807,2025-08-31,Aston Villa,Crystal Palace,0,3,1.20586,2.59713,2025,Aston Villa v Crystal Palace,Aston
