league,season,game,team,player,league_id,season_id,game_id,team_id,player_id,position,position_id,minutes,goals,own_goals,shots,xg,xg_chain,xg_buildup,assists,xa,key_passes,yellow_cards,red_cards
ENG-Premier League,1516,2015-08-08 Bournemouth-Aston Villa,Aston Villa,Ashley Westwood,1,2015,82,71,669,MC,9,90,0,0,0,0.0,0.13193699717521667,0.13193699717521667,1,0.3740819990634918,1,1,0
ENG-Premier League,1516,2015-08-08 Bournemouth-Aston Villa,Aston Villa,Brad Guzan,1,2015,82,71,662,GK,1,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1516,2015-08-08 Bournemouth-Aston Villa,Aston Villa,Carlos Sánchez,1,2015,82,71,667,Sub,17,18,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1516,2015-08-08 Bournemouth-Aston Villa,Aston Villa,Ciaran Clark,1,2015,82,71,875,DC,3,90,0,0,0,0.0,0.13193699717521667,0.13193699717521667,0,0.0,0,1,0
ENG-Premier League,1516,2015-08-08 Bournemouth-Aston Villa,Aston Villa,Gabriel Agbonlahor,1,2015,82,71,890,FW,15,90,0,0,2,0.13016000390052795,0.24382799863815308,0.0,0,0.11366800218820572,1,0,0
ENG-Premier League,1516,2015-08-08 Bournemouth-Aston Villa,Aston Villa,Idrissa Gueye,1,2015,82,71,668,MC,9,90,0,0,2,0.13193699717521667,0.13193699717521667,0.0,0,0.0,0,1,0
ENG-Premier League,1516,2015-08-08 Bournemouth-Aston Villa,Aston Villa,Jordan Amavi,1,2015,82,71,961,DL,4,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1516,2015-08-08 Bournemouth-Aston Villa,Aston Villa,Jordan Ayew,1,2015,82,71,672,FWR,14,60,0,0,0,0.0,0.13193699717521667,0.13193699717521667,0,0.0,0,0,0
ENG-Premier League,1516,2015-08-08 Bournemouth-Aston Villa,Aston Villa,Jordan Veretout,1,2015,82,71,677,MC,9,72,0,0,0,0.0,0.13193699717521667,0.11366800218820572,0,0.018269099295139313,1,0,0
ENG-Premier League,1516,2015-08-08 Bournemouth-Aston Villa,Aston Villa,Kieran Richardson,1,2015,82,71,899,Sub,17,11,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1516,2015-08-08 Bournemouth-Aston Villa,Aston Villa,Leandro Bacuna,1,2015,82,71,674,DR,2,90,0,0,1,0.09737080335617065,0.11366800218820572,0.11366800218820572,0,0.0,0,1,0
ENG-Premier League,1516,2015-08-08 Bournemouth-Aston Villa,Aston Villa,Micah Richards,1,2015,82,71,665,DC,3,90,0,0,0,0.0,0.16834400594234467,0.11366800218820572,0,0.05467610061168671,1,0,0
ENG-Premier League,1516,2015-08-08 Bournemouth-Aston Villa,Aston Villa,Rudy Gestede,1,2015,82,71,671,Sub,17,30,1,0,2,0.42676201462745667,0.052679698914289474,0.0,0,0.0,0,0,0
ENG-Premier League,1516,2015-08-08 Bournemouth-Aston Villa,Aston Villa,Scott Sinclair,1,2015,82,71,679,FWL,16,79,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1516,2015-08-08 Bournemouth-Aston Villa,Bournemouth,Andrew Surman,1,2015,82,73,460,MC,9,90,0,0,2,0.06441409885883331,0.23548200726509094,0.05408469960093498,0,0.21144600212574005,4,0,0
ENG-Premier League,1516,2015-08-08 Bournemouth-Aston Villa,Bournemouth,Artur Boruc,1,2015,82,73,455,GK,1,90,0,0,0,0.0,0.07433070242404938,0.07433070242404938,0,0.0,0,0,0
ENG-Premier League,1516,2015-08-08 Bournemouth-Aston Villa,Bournemouth,Callum Wilson,1,2015,82,73,468,FW,15,90,0,0,2,0.13156600296497345,0.6176139712333679,0.48604801297187805,0,0.0,0,0,0
