League,season_id,Game,Team,Player,Season,game_id,Position,Position ID,Minutes,Goals,Own Goals,Shots,xG,xg_chain,xg_buildup,Assists,xA,Key Passes,Yellow Cards,Red Cards,date
ENG-Premier League,2526,Liverpool v Bournemouth,Bournemouth,Adam Smith,2025,28778,DR,2,90,0,0,0,0.0,0.448314905166626,0.09731415659189224,0,0.35100075602531433,1,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Bournemouth,Adrien Truffert,2025,28778,DL,4,90,0,0,0,0.0,0.46745479106903076,0.15053382515907288,0,0.3169209659099579,1,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Bournemouth,Alex Scott,2025,28778,MC,9,77,0,0,0,0.0,0.7769950032234192,0.7769950032234192,0,0.0,0,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Bournemouth,Antoine Semenyo,2025,28778,MR,8,90,2,0,3,0.8385053277015686,0.8385053277015686,0.0,0,0.0,0,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Bournemouth,Bafode Diakite,2025,28778,DC,3,90,0,0,0,0.0,0.35100075602531433,0.35100075602531433,0,0.0,0,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Bournemouth,Ben Winterburn,2025,28778,Sub,17,3,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Bournemouth,David Brooks,2025,28778,ML,10,87,0,0,2,0.11572124809026718,0.9900304079055786,0.42809173464775085,1,0.5950358510017395,3,1,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Bournemouth,Djordje Petrovic,2025,28778,GK,1,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Bournemouth,Eli Junior Kroupi,2025,28778,Sub,17,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Bournemouth,Evanilson,2025,28778,FW,15,90,0,0,3,0.22226129472255707,0.5015345811843872,0.35100075602531433,0,0.0,0,1,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Bournemouth,Hamed Junior Traore,2025,28778,Sub,17,13,0,0,0,0.0,0.09559009969234467,0.0,1,0.09559009969234467,1,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Bournemouth,James Hill,2025,28778,Sub,17,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Bournemouth,Marcos Senesi,2025,28778,DC,3,90,0,0,0,0.0,0.79823237657547,0.7450127005577087,0,0.05321967601776123,1,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Bournemouth,Marcus Tavernier,2025,28778,MC,9,90,0,0,2,0.3965432643890381,0.4813114106655121,0.05321967601776123,0,0.07709097117185593,1,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Bournemouth,Tyler Adams,2025,28778,DMC,7,90,0,0,0,0.0,0.8540859818458557,0.8540859818458557,0,0.0,0,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Liverpool,Alexis Mac Allister,2025,28778,DMC,7,75,0,0,1,0.027150798588991165,0.687923014163971,0.6607722043991089,1,0.40409132838249207,1,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Liverpool,Alisson,2025,28778,GK,1,90,0,0,0,0.0,0.41869235038757324,0.41869235038757324,0,0.0,0,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Liverpool,Andrew Robertson,2025,28778,Sub,17,27,0,0,0,0.0,0.03299751132726669,0.03299751132726669,0,0.0,0,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Liverpool,Cody Gakpo,2025,28778,AML,13,90,1,0,3,0.19875659048557281,1.1956214904785156,0.43708884716033936,0,0.6628258228302002,3,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Liverpool,Curtis Jones,2025,28778,Sub,17,15,0,0,0,0.0,0.14507903158664703,0.05117299035191536,0,0.09390604496002197,1,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Liverpool,Dominik Szoboszlai,2025,28778,DMC,7,90,0,0,3,0.15964634716510773,0.7349246144294739,0.5752782821655273,0,0.14403612911701202,2,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Liverpool,Federico Chiesa,2025,28778,Sub,17,5,1,0,1,0.09901324659585953,0.09901324659585953,0.0,0,0.0,0,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Liverpool,Florian Wirtz,2025,28778,AMC,12,85,0,0,1,0.11103862524032593,0.7999421954154968,0.6617527604103088,0,0.23951755464076996,3,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Liverpool,Hugo Ekitike,2025,28778,FW,15,75,1,0,4,1.0882461071014404,1.0919044017791748,0.40409132838249207,1,0.1383628249168396,2,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Liverpool,Ibrahima Konaté,2025,28778,DC,3,90,0,0,0,0.0,1.0291950702667236,1.0291950702667236,0,0.0,0,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Liverpool,Jeremie Frimpong,2025,28778,DR,2,63,0,0,1,0.015647554770112038,0.027150798588991165,0.027150798588991165,0,0.0,0,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Liverpool,Joseph Gomez,2025,28778,Sub,17,15,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Liverpool,Milos Kerkez,2025,28778,DL,4,63,0,0,0,0.0,1.0492483377456665,1.0492483377456665,0,0.0,0,1,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Liverpool,Mohamed Salah,2025,28778,AMR,11,90,1,0,3,0.29493647813796997,0.498899906873703,0.15279042720794678,0,0.3091484308242798,2,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Liverpool,Virgil van Dijk,2025,28778,DC,3,90,0,0,2,0.33563756942749023,0.7136288285255432,0.7136288285255432,0,0.0,0,0,0,
ENG-Premier League,2526,Liverpool v Bournemouth,Liverpool,Wataru Endo,2025,28778,Sub,17,27,0,0,0,0.0,0.13890482485294342,0.0,1,0.13890482485294342,1,0,0,
ENG-Premier League,2526,Aston Villa v Newcastle United,Aston Villa,Amadou Onana,2025,28779,DMC,7,90,0,0,0,0.0,0.0799555703997612,0.0799555703997612,0,0.0,0,0,0,
ENG-Premier League,2526,Aston Villa v Newcastle United,Aston Villa,Boubacar Kamara,2025,28779,DMC,7,90,0,0,1,0.17516101896762848,0.06348427385091782,0.06348427385091782,0,0.0,0,1,0,
ENG-Premier League,2526,Aston Villa v Newcastle United,Aston Villa,Donyell Malen,2025,28779,Sub,17,6,0,0,1,0.06348427385091782,0.06348427385091782,0.0,0,0.0,0,0,0,
ENG-Premier League,2526,Aston Villa v Newcastle United,Aston Villa,Ezri Konsa Ngoyo,2025,28779,DC,3,66,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1,
ENG-Premier League,2526,Aston Villa v Newcastle United,Aston Villa,John McGinn,2025,28779,AMR,11,84,0,0,0,0.0,0.0,0.0,0,0.17516101896762848,1,0,0,
ENG-Premier League,2526,Aston Villa v Newcastle United,Aston Villa,Lucas Digne,2025,28779,DL,4,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,
ENG-Premier League,2526,Aston Villa v Newcastle United,Aston Villa,Marco Bizot,2025,28779,GK,1,90,0,0,0,0.0,0.0799555703997612,0.0799555703997612,0,0.0,0,0,0,
ENG-Premier League,2526,Aston Villa v Newcastle United,Aston Villa,Matthew Cash,2025,28779,DR,2,90,0,0,0,0.0,0.0799555703997612,0.0799555703997612,0,0.0,0,0,0,
ENG-Premier League,2526,Aston Villa v Newcastle United,Aston Villa,Morgan Rogers,2025,28779,AML,13,90,0,0,0,0.0,0.0799555703997612,0.0,0,0.0799555703997612,1,0,0,
ENG-Premier League,2526,Aston Villa v Newcastle United,Aston Villa,Ollie Watkins,2025,28779,FW,15,90,0,0,1,0.0799555703997612,0.14343984425067902,0.0,0,0.06348427385091782,1,0,0,
