league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ENG-Premier League,2122,Arsenal,Aaron Ramsdale,1,2021,83,5603,GK,34,3060,0,0.0,0,0.0,0,0.0,0,0,1,0,3.995810028165579,3.995810028165579
ENG-Premier League,2122,Arsenal,Ainsley Maitland-Niles,1,2021,83,1750,M S,8,251,0,0.029720098711550236,0,0.029720098711550236,0,0.22736240178346634,2,3,0,0,0.6360606998205185,0.38906870782375336
ENG-Premier League,2122,Arsenal,Albert Sambi Lokonga,1,2021,83,9689,M S,19,1125,0,0.585317600518465,0,0.585317600518465,0,0.8354285042732954,20,18,5,0,5.447862323373556,4.692085664719343
ENG-Premier League,2122,Arsenal,Alexandre Lacazette,1,2021,83,3277,F M S,30,1800,4,7.625774389132857,2,5.342271422967315,7,3.2550142742693424,46,29,0,0,9.149895284324884,3.0975794158875942
ENG-Premier League,2122,Arsenal,Ben White,1,2021,83,7298,D,32,2880,0,0.6877354960888624,0,0.6877354960888624,0,1.1921783965080976,12,13,3,0,10.001042181625962,9.336444577202201
ENG-Premier League,2122,Arsenal,Bernd Leno,1,2021,83,181,GK,4,360,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1893833950161934,0.1893833950161934
ENG-Premier League,2122,Arsenal,Bukayo Saka,1,2021,83,7322,F M S,38,3034,11,9.905906103551388,9,8.383569121360779,7,7.6313808765262365,97,68,6,0,19.44989830069244,9.058580647222698
ENG-Premier League,2122,Arsenal,Calum Chambers,1,2021,83,508,D M S,13,1001,1,0.26563410088419914,1,0.26563410088419914,0,0.17693210020661354,5,3,1,0,2.581540483981371,2.4068506844341755
ENG-Premier League,2122,Arsenal,Cédric Soares,1,2021,83,847,D S,21,1483,1,0.48968339897692204,1,0.48968339897692204,1,1.5193457724526525,12,18,3,0,5.350092962384224,4.6192956287413836
ENG-Premier League,2122,Arsenal,Eddie Nketiah,1,2021,83,6482,F S,21,803,5,4.993681591004133,5,4.993681591004133,1,1.6652061231434345,28,13,3,0,7.677356168627739,2.160008793696761
ENG-Premier League,2122,Arsenal,Emile Smith-Rowe,1,2021,83,7230,F M S,33,1928,10,5.36384779214859,10,5.36384779214859,2,3.033005226403475,40,30,1,0,10.874114144593477,4.788454380817711
ENG-Premier League,2122,Arsenal,Folarin Balogun,1,2021,83,9690,F S,2,69,0,0.15745499730110168,0,0.15745499730110168,0,0.0,3,0,0,0,0.15745499730110168,0.0
ENG-Premier League,2122,Arsenal,Gabriel,1,2021,83,5613,D,35,3075,5,3.5427271053195,5,3.5427271053195,0,0.2485223039984703,29,8,6,1,11.80418819282204,11.412368149496615
ENG-Premier League,2122,Arsenal,Gabriel Martinelli,1,2021,83,7752,F M S,29,1877,6,8.86431922391057,5,8.103149194270372,6,4.0846668761223555,51,34,1,1,10.528596667572856,2.5605143029242754
ENG-Premier League,2122,Arsenal,Granit Xhaka,1,2021,83,204,D M,27,2338,1,1.1074839858338237,1,1.1074839858338237,2,2.4247115943580866,27,32,10,1,13.480487655848265,10.990657599642873
ENG-Premier League,2122,Arsenal,Kieran Tierney,1,2021,83,8089,D,22,1926,1,0.6144815096631646,1,0.6144815096631646,3,1.246632007881999,15,20,0,0,6.7281964011490345,5.27379622682929
