League,season_id,Team,Player,Season,position,Matches,Minutes,Goals,xG,Non-Penalty Goals,Non-Penalty xG,Assists,xA,Shots,Key Passes,Yellow Cards,Red Cards,xg_chain,xg_buildup
Premier League,2324,Arsenal,Aaron Ramsdale,2023,GK,6,540,0,0.0,0,0.0,0,0.0,0,0,0,0,0.7832736372947693,0.7832736372947693
Premier League,2324,Arsenal,Ben White,2023,D S,37,3024,4,2.015913512557745,4,2.015913512557745,4,4.758832193911076,13,38,8,0,20.14929211512208,17.290449742227793
Premier League,2324,Arsenal,Bukayo Saka,2023,F,35,2990,16,16.807056225836277,10,12.240043208003044,8,11.325986489653587,107,89,4,0,30.357597015798092,13.228619534522295
Premier League,2324,Arsenal,Cédric Soares,2023,S,3,44,0,0.0,0,0.0,0,0.0,0,0,0,0,0.19675532914698124,0.19675532914698124
Premier League,2324,Arsenal,David Raya,2023,GK,32,2880,0,0.0,0,0.0,0,0.0,0,0,2,0,7.5175920985639095,7.5175920985639095
Premier League,2324,Arsenal,Declan Rice,2023,M S,38,3256,7,3.186093623749912,7,3.186093623749912,8,5.895036246627569,58,47,5,0,19.678100544027984,16.131323732435703
Premier League,2324,Arsenal,Eddie Nketiah,2023,F S,27,1036,5,5.057408779859543,5,5.057408779859543,2,1.209644090384245,38,9,3,0,5.851144388318062,0.9911122377961874
Premier League,2324,Arsenal,Emile Smith-Rowe,2023,M S,13,325,0,1.5201803892850876,0,1.5201803892850876,1,0.24036412686109543,15,4,0,0,3.7657799795269966,2.0563183277845383
Premier League,2324,Arsenal,Ethan Nwaneri,2023,S,1,6,0,0.0,0,0.0,0,0.024536216631531715,0,1,0,0,0.024536216631531715,0.024536216631531715
Premier League,2324,Arsenal,Fábio Vieira,2023,M S,11,277,1,1.164049606770277,0,0.4028807692229748,2,1.3098269253969193,7,5,0,1,1.5897186901420355,0.29259338416159153
Premier League,2324,Arsenal,Gabriel,2023,D S,36,3050,3,4.025354804471135,3,4.025354804471135,0,0.8747859355062246,31,3,4,0,13.232404409907758,12.333239757455885
Premier League,2324,Arsenal,Gabriel Jesus,2023,F S,27,1496,4,7.291733928024769,4,7.291733928024769,5,4.235467437654734,55,28,6,0,15.054804097861052,5.210432682186365
Premier League,2324,Arsenal,Gabriel Martinelli,2023,F S,35,2056,6,7.1196701768785715,6,7.1196701768785715,4,5.3229342848062515,58,46,1,0,16.80896869674325,6.638341135345399
Premier League,2324,Arsenal,Jakub Kiwior,2023,D S,20,953,1,1.1961752735078335,1,1.1961752735078335,3,0.9080287516117096,6,6,1,0,5.180064149200916,3.9905764758586884
Premier League,2324,Arsenal,Jorginho,2023,M S,24,911,0,0.08004274033010006,0,0.08004274033010006,2,1.5529427882283926,4,10,1,0,6.152929972857237,5.498104698956013
Premier League,2324,Arsenal,Jurriën Timber,2023,D S,2,70,0,0.0,0,0.0,0,0.0,0,0,2,0,0.2789519429206848,0.2789519429206848
