League,season_id,Game,Team,Player,Season,game_id,Date,shot_id,Assist Player,xG,x,y,Minute,body_part,Situation,Result
Premier League,2324,Burnley v Manchester City,Burnley,Anass Zaroury,2023,22275,2023-08-11,531947,Lyle Foster,0.0639837458729744,0.8169999694824219,0.5359999847412109,79,Left Foot,Open Play,Blocked Shot
Premier League,2324,Burnley v Manchester City,Burnley,Jacob Bruun Larsen,2023,22275,2023-08-11,531948,Anass Zaroury,0.013008161447942257,0.9580000305175781,0.37599998474121094,81,,From Corner,Missed Shot
Premier League,2324,Burnley v Manchester City,Burnley,Luca Koleosho,2023,22275,2023-08-11,531932,Vitinho,0.05805481970310211,0.86,0.635,14,Right Foot,Open Play,Missed Shot
Premier League,2324,Burnley v Manchester City,Burnley,Lyle Foster,2023,22275,2023-08-11,531934,,0.01711176335811615,0.87,0.750999984741211,28,Left Foot,Open Play,Missed Shot
Premier League,2324,Burnley v Manchester City,Burnley,Lyle Foster,2023,22275,2023-08-11,531936,Luca Koleosho,0.09761640429496765,0.86,0.455,36,Right Foot,Open Play,Blocked Shot
Premier League,2324,Burnley v Manchester City,Burnley,Zeki Amdouni,2023,22275,2023-08-11,531933,Luca Koleosho,0.06125757470726967,0.8859999847412109,0.6719999694824219,17,Left Foot,Open Play,Saved Shot
Premier League,2324,Burnley v Manchester City,Manchester City,Aymeric Laporte,2023,22275,2023-08-11,531951,Julián Álvarez,0.11228246241807938,0.9130000305175782,0.5270000076293946,94,,Set Piece,Saved Shot
Premier League,2324,Burnley v Manchester City,Manchester City,Erling Haaland,2023,22275,2023-08-11,531929,Rodri,0.5058456659317017,0.9369999694824219,0.5059999847412109,3,Left Foot,From Corner,Goal
Premier League,2324,Burnley v Manchester City,Manchester City,Erling Haaland,2023,22275,2023-08-11,531931,Kevin De Bruyne,0.13024680316448212,0.9519999694824218,0.4209999847412109,10,Right Foot,Open Play,Missed Shot
Premier League,2324,Burnley v Manchester City,Manchester City,Erling Haaland,2023,22275,2023-08-11,531935,Julián Álvarez,0.11321365833282471,0.8909999847412109,0.385,35,Left Foot,Open Play,Goal
Premier League,2324,Burnley v Manchester City,Manchester City,Erling Haaland,2023,22275,2023-08-11,531938,Julián Álvarez,0.13275626301765442,0.9440000152587891,0.6819999694824219,51,Left Foot,Open Play,Blocked Shot
Premier League,2324,Burnley v Manchester City,Manchester City,Julián Álvarez,2023,22275,2023-08-11,531942,Erling Haaland,0.08655776083469391,0.8819999694824219,0.33599998474121096,59,Right Foot,Open Play,Missed Shot
Premier League,2324,Burnley v Manchester City,Manchester City,Julián Álvarez,2023,22275,2023-08-11,531946,Erling Haaland,0.13168953359127045,0.8880000305175781,0.6029999923706054,78,Right Foot,Open Play,Blocked Shot
Premier League,2324,Burnley v Manchester City,Manchester City,Julián Álvarez,2023,22275,2023-08-11,531949,Phil Foden,0.07177942246198654,0.8690000152587891,0.31799999237060544,85,Right Foot,Open Play,Saved Shot
Premier League,2324,Burnley v Manchester City,Manchester City,Kevin De Bruyne,2023,22275,2023-08-11,531930,Phil Foden,0.01889444887638092,0.7190000152587891,0.3890000152587891,5,Right Foot,Open Play,Missed Shot
Premier League,2324,Burnley v Manchester City,Manchester City,Nathan Aké,2023,22275,2023-08-11,531944,,0.10935002565383911,0.9580000305175781,0.49599998474121093,74,Left Foot,Set Piece,Blocked Shot
Premier League,2324,Burnley v Manchester City,Manchester City,Phil Foden,2023,22275,2023-08-11,531937,Mateo Kovacic,0.16869960725307465,0.8980000305175782,0.48200000762939454,45,Left Foot,Open Play,Saved Shot
Premier League,2324,Burnley v Manchester City,Manchester City,Phil Foden,2023,22275,2023-08-11,531939,,0.07316727191209793,0.950999984741211,0.625999984741211,52,Left Foot,From Corner,Blocked Shot
Premier League,2324,Burnley v Manchester City,Manchester City,Phil Foden,2023,22275,2023-08-11,531950,Julián Álvarez,0.024144073948264122,0.8219999694824218,0.28399999618530275,87,Left Foot,Set Piece,Missed Shot
Premier League,2324,Burnley v Manchester City,Manchester City,Rodri,2023,22275,2023-08-11,531940,Kyle Walker,0.014352702535688877,0.705999984741211,0.43900001525878907,54,Right Foot,Open Play,Saved Shot
Premier League,2324,Burnley v Manchester City,Manchester City,Rodri,2023,22275,2023-08-11,531941,Julián Álvarez,0.020431943237781525,0.865999984741211,0.485,54,,From Corner,Saved Shot
Premier League,2324,Burnley v Manchester City,Manchester City,Rodri,2023,22275,2023-08-11,531943,Julián Álvarez,0.10010907053947449,0.8590000152587891,0.3920000076293945,66,Right Foot,Open Play,Blocked Shot
Premier League,2324,Burnley v Manchester City,Manchester City,Rodri,2023,22275,2023-08-11,531945,,0.6593173146247864,0.9519999694824218,0.49400001525878906,74,Right Foot,Set Piece,Goal
Premier League,2324,Arsenal v Nottingham Forest,Arsenal,Bukayo Saka,2023,22276,2023-08-12,531996,Thomas Partey,0.051885101944208145,0.8819999694824219,0.30700000762939456,24,Right Foot,Open Play,Blocked Shot
Premier League,2324,Arsenal v Nottingham Forest,Arsenal,Bukayo Saka,2023,22276,2023-08-12,531998,William Saliba,0.037814829498529434,0.794000015258789,0.375,31,Left Foot,Open Play,Goal
Premier League,2324,Arsenal v Nottingham Forest,Arsenal,Bukayo Saka,2023,22276,2023-08-12,532010,Kai Havertz,0.14559100568294525,0.9119999694824219,0.5209999847412109,86,Left Foot,Open Play,Saved Shot
Premier League,2324,Arsenal v Nottingham Forest,Arsenal,Declan Rice,2023,22276,2023-08-12,532000,Bukayo Saka,0.01737094298005104,0.7180000305175781,0.6309999847412109,43,Right Foot,Open Play,Saved Shot
Premier League,2324,Arsenal v Nottingham Forest,Arsenal,Declan Rice,2023,22276,2023-08-12,532004,Kai Havertz,0.033978916704654694,0.7780000305175782,0.4329999923706055,75,Right Foot,Open Play,Saved Shot
Premier League,2324,Arsenal v Nottingham Forest,Arsenal,Declan Rice,2023,22276,2023-08-12,532006,,0.06948760896921158,0.865999984741211,0.5329999923706055,80,Right Foot,Open Play,Saved Shot
Premier League,2324,Arsenal v Nottingham Forest,Arsenal,Eddie Nketiah,2023,22276,2023-08-12,531993,Bukayo Saka,0.08700478076934814,0.95,0.5979999923706054,9,,Open Play,Missed Shot
Premier League,2324,Arsenal v Nottingham Forest,Arsenal,Eddie Nketiah,2023,22276,2023-08-12,531997,Gabriel Martinelli,0.06297741830348969,0.8809999847412109,0.5690000152587891,25,Right Foot,From Corner,Goal
Premier League,2324,Arsenal v Nottingham Forest,Arsenal,Eddie Nketiah,2023,22276,2023-08-12,531999,,0.07902981340885162,0.9159999847412109,0.34200000762939453,37,Right Foot,Open Play,Missed Shot
Premier League,2324,Arsenal v Nottingham Forest,Arsenal,Kai Havertz,2023,22276,2023-08-12,531995,Gabriel Martinelli,0.03973983973264694,0.794000015258789,0.5479999923706055,23,Left Foot,Open Play,Blocked Shot
Premier League,2324,Arsenal v Nottingham Forest,Arsenal,Kai Havertz,2023,22276,2023-08-12,532009,Martin Odegaard,0.06931421905755997,0.9430000305175781,0.30100000381469727,84,Right Foot,Open Play,Blocked Shot
Premier League,2324,Arsenal v Nottingham Forest,Arsenal,Martin Odegaard,2023,22276,2023-08-12,532002,Thomas Partey,0.036525920033454895,0.8490000152587891,0.2620000076293945,68,Left Foot,Open Play,Blocked Shot
Premier League,2324,Arsenal v Nottingham Forest,Arsenal,Martin Odegaard,2023,22276,2023-08-12,532011,Leandro Trossard,0.047283489257097244,0.7730000305175782,0.625999984741211,92,Left Foot,Open Play,Blocked Shot
Premier League,2324,Arsenal v Nottingham Forest,Arsenal,Martin Odegaard,2023,22276,2023-08-12,532013,Bukayo Saka,0.045054949820041656,0.8159999847412109,0.385,97,Left Foot,Open Play,Missed Shot
Premier League,2324,Arsenal v Nottingham Forest,Arsenal,Takehiro Tomiyasu,2023,22276,2023-08-12,532001,Gabriel Martinelli,0.019561249762773514,0.750999984741211,0.6509999847412109,50,Right Foot,Open Play,Saved Shot
Premier League,2324,Arsenal v Nottingham Forest,Nottingham Forest,Brennan Johnson,2023,22276,2023-08-12,531994,Willy Boly,0.15999659895896912,0.8390000152587891,0.3920000076293945,10,Right Foot,Open Play,Missed Shot
Premier League,2324,Arsenal v Nottingham Forest,Nottingham Forest,Cheikhou Kouyaté,2023,22276,2023-08-12,532012,,0.01924874819815159,0.7669999694824219,0.475,94,Right Foot,Set Piece,Missed Shot
Premier League,2324,Arsenal v Nottingham Forest,Nottingham Forest,Morgan Gibbs-White,2023,22276,2023-08-12,532008,Anthony Elanga,0.08266659080982208,0.835,0.6409999847412109,82,Right Foot,Open Play,Missed Shot
Premier League,2324,Arsenal v Nottingham Forest,Nottingham Forest,Ola Aina,2023,22276,2023-08-12,532003,Orel Mangala,0.0158710777759552,0.7440000152587891,0.7130000305175781,69,Right Foot,Open Play,Blocked Shot
Premier League,2324,Arsenal v Nottingham Forest,Nottingham Forest,Taiwo Awoniyi,2023,22276,2023-08-12,532007,Anthony Elanga,0.6045634746551514,0.95,0.5709999847412109,81,Right Foot,Open Play,Goal
Premier League,2324,Arsenal v Nottingham Forest,Nottingham Forest,Willy Boly,2023,22276,2023-08-12,532005,Morgan Gibbs-White,0.08395855873823166,0.955999984741211,0.47900001525878905,77,,From Corner,Saved Shot
Premier League,2324,Bournemouth v West Ham,Bournemouth,Antoine Semenyo,2023,22277,2023-08-12,532039,,0.025760043412446976,0.7830000305175782,0.37099998474121093,81,Right Foot,Open Play,Missed Shot
