league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ENG-Premier League,1819,Arsenal,Aaron Ramsey,1,2018,83,504,M S,28,1326,4,3.7076626317575574,4,3.7076626317575574,6,2.3036546036601067,33,25,0,0,8.951481003314257,3.683660376816988
ENG-Premier League,1819,Arsenal,Ainsley Maitland-Niles,1,2018,83,1750,D M S,16,976,1,1.015497699379921,1,1.015497699379921,1,1.0627507232129574,5,6,1,1,4.286457806825638,2.369580402970314
ENG-Premier League,1819,Arsenal,Alex Iwobi,1,2018,83,500,F M S,35,1974,3,3.7199746686965227,3,3.7199746686965227,6,7.637422086670995,35,40,0,0,18.207131139934063,9.56119485013187
ENG-Premier League,1819,Arsenal,Alexandre Lacazette,1,2018,83,3277,F S,35,2498,13,12.033688011579216,13,12.033688011579216,8,4.100150818936527,81,31,2,0,22.075848444364965,8.813797890208662
ENG-Premier League,1819,Arsenal,Bernd Leno,1,2018,83,181,GK S,32,2833,0,0.0,0,0.0,0,0.0,0,0,0,0,3.0359405977651477,3.0359405977651477
ENG-Premier League,1819,Arsenal,Bukayo Saka,1,2018,83,7322,S,1,6,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,1819,Arsenal,Carl Jenkinson,1,2018,83,938,D M S,3,166,0,0.0,0,0.0,0,0.05560529977083206,0,1,0,0,1.2273359894752502,1.2273359894752502
ENG-Premier League,1819,Arsenal,Danny Welbeck,1,2018,83,501,F S,8,137,1,0.7929710298776627,1,0.7929710298776627,1,0.2816691994667053,4,5,0,0,1.7137897610664368,0.7048691231757402
ENG-Premier League,1819,Arsenal,Denis Suárez,1,2018,83,2308,S,4,59,0,0.0,0,0.0,0,0.0,0,0,0,0,0.043597299605607986,0.043597299605607986
ENG-Premier League,1819,Arsenal,Eddie Nketiah,1,2018,83,6482,S,5,54,1,0.2696470022201538,1,0.2696470022201538,0,0.13141000270843506,3,1,0,0,0.958267018198967,0.6886199712753296
ENG-Premier League,1819,Arsenal,Granit Xhaka,1,2018,83,204,D M,29,2511,4,1.8811397179961205,4,1.8811397179961205,2,3.515733541920781,29,40,10,0,15.243711369112134,12.580725133419037
ENG-Premier League,1819,Arsenal,Henrikh Mkhitaryan,1,2018,83,317,F M S,25,1647,6,5.3435673750936985,6,5.3435673750936985,4,6.486036565154791,49,29,1,0,16.100102107971907,8.28257618099451
ENG-Premier League,1819,Arsenal,Héctor Bellerín,1,2018,83,492,D M S,19,1539,0,0.9628542847931385,0,0.9628542847931385,5,2.4628625456243753,18,8,3,0,8.642918668687344,5.913234882988036
ENG-Premier League,1819,Arsenal,Joe Willock,1,2018,83,6630,M S,2,66,0,0.1326580047607422,0,0.1326580047607422,0,0.0,2,0,0,0,0.1326580047607422,0.0
ENG-Premier League,1819,Arsenal,Konstantinos Mavropanos,1,2018,83,6722,D S,4,149,0,0.09594719856977463,0,0.09594719856977463,0,0.5670660138130188,2,1,1,0,0.32860811054706573,0.32860811054706573
ENG-Premier League,1819,Arsenal,Laurent Koscielny,1,2018,83,494,D S,17,1326,3,2.112583603709936,3,2.112583603709936,0,0.12015959993004799,5,2,1,0,3.885789316147566,3.851030617952347
