league,season,game,team,player,league_id,season_id,game_id,date,shot_id,team_id,player_id,assist_player_id,assist_player,xg,location_x,location_y,minute,body_part,situation,result
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Burnley,Anass Zaroury,1,2023,22275,2023-08-11 19:00:00,531947,92,11703,603612,Lyle Foster,0.0639837458729744,0.8169999694824219,0.5359999847412109,79,Left Foot,Open Play,Blocked Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Burnley,Jacob Bruun Larsen,1,2023,22275,2023-08-11 19:00:00,531948,92,5355,603615,Anass Zaroury,0.013008161447942257,0.9580000305175781,0.37599998474121094,81,,From Corner,Missed Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Burnley,Luca Koleosho,1,2023,22275,2023-08-11 19:00:00,531932,92,10620,603608,Vitinho,0.05805481970310211,0.86,0.635,14,Right Foot,Open Play,Missed Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Burnley,Lyle Foster,1,2023,22275,2023-08-11 19:00:00,531934,92,7498,,,0.01711176335811615,0.87,0.750999984741211,28,Left Foot,Open Play,Missed Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Burnley,Lyle Foster,1,2023,22275,2023-08-11 19:00:00,531936,92,7498,603609,Luca Koleosho,0.09761640429496765,0.86,0.455,36,Right Foot,Open Play,Blocked Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Burnley,Zeki Amdouni,1,2023,22275,2023-08-11 19:00:00,531933,92,11701,603609,Luca Koleosho,0.06125757470726967,0.8859999847412109,0.6719999694824219,17,Left Foot,Open Play,Saved Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Aymeric Laporte,1,2023,22275,2023-08-11 19:00:00,531951,88,2498,603627,Julián Álvarez,0.11228246241807938,0.9130000305175782,0.5270000076293946,94,,Set Piece,Saved Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Erling Haaland,1,2023,22275,2023-08-11 19:00:00,531929,88,8260,603625,Rodri,0.5058456659317017,0.9369999694824219,0.5059999847412109,3,Left Foot,From Corner,Goal
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Erling Haaland,1,2023,22275,2023-08-11 19:00:00,531931,88,8260,603624,Kevin De Bruyne,0.13024680316448212,0.9519999694824218,0.4209999847412109,10,Right Foot,Open Play,Missed Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Erling Haaland,1,2023,22275,2023-08-11 19:00:00,531935,88,8260,603627,Julián Álvarez,0.11321365833282471,0.8909999847412109,0.385,35,Left Foot,Open Play,Goal
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Erling Haaland,1,2023,22275,2023-08-11 19:00:00,531938,88,8260,603627,Julián Álvarez,0.13275626301765442,0.9440000152587891,0.6819999694824219,51,Left Foot,Open Play,Blocked Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Julián Álvarez,1,2023,22275,2023-08-11 19:00:00,531942,88,10846,603629,Erling Haaland,0.08655776083469391,0.8819999694824219,0.33599998474121096,59,Right Foot,Open Play,Missed Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Julián Álvarez,1,2023,22275,2023-08-11 19:00:00,531946,88,10846,603629,Erling Haaland,0.13168953359127045,0.8880000305175781,0.6029999923706054,78,Right Foot,Open Play,Blocked Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Julián Álvarez,1,2023,22275,2023-08-11 19:00:00,531949,88,10846,603628,Phil Foden,0.07177942246198654,0.8690000152587891,0.31799999237060544,85,Right Foot,Open Play,Saved Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Kevin De Bruyne,1,2023,22275,2023-08-11 19:00:00,531930,88,447,603628,Phil Foden,0.01889444887638092,0.7190000152587891,0.3890000152587891,5,Right Foot,Open Play,Missed Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Nathan Aké,1,2023,22275,2023-08-11 19:00:00,531944,88,579,,,0.10935002565383911,0.9580000305175781,0.49599998474121093,74,Left Foot,Set Piece,Blocked Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Phil Foden,1,2023,22275,2023-08-11 19:00:00,531937,88,6055,603630,Mateo Kovacic,0.16869960725307465,0.8980000305175782,0.48200000762939454,45,Left Foot,Open Play,Saved Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Phil Foden,1,2023,22275,2023-08-11 19:00:00,531939,88,6055,,,0.07316727191209793,0.950999984741211,0.625999984741211,52,Left Foot,From Corner,Blocked Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Phil Foden,1,2023,22275,2023-08-11 19:00:00,531950,88,6055,603627,Julián Álvarez,0.024144073948264122,0.8219999694824218,0.28399999618530275,87,Left Foot,Set Piece,Missed Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Rodri,1,2023,22275,2023-08-11 19:00:00,531940,88,2496,603620,Kyle Walker,0.014352702535688877,0.705999984741211,0.43900001525878907,54,Right Foot,Open Play,Saved Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Rodri,1,2023,22275,2023-08-11 19:00:00,531941,88,2496,603627,Julián Álvarez,0.020431943237781525,0.865999984741211,0.485,54,,From Corner,Saved Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Rodri,1,2023,22275,2023-08-11 19:00:00,531943,88,2496,603627,Julián Álvarez,0.10010907053947449,0.8590000152587891,0.3920000076293945,66,Right Foot,Open Play,Blocked Shot
ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Rodri,1,2023,22275,2023-08-11 19:00:00,531945,88,2496,,,0.6593173146247864,0.9519999694824218,0.49400001525878906,74,Right Foot,Set Piece,Goal
ENG-Premier League,2324,2023-08-12 Arsenal-Nottingham Forest,Arsenal,Bukayo Saka,1,2023,22276,2023-08-12 11:30:00,531996,83,7322,603697,Thomas Partey,0.051885101944208145,0.8819999694824219,0.30700000762939456,24,Right Foot,Open Play,Blocked Shot
ENG-Premier League,2324,2023-08-12 Arsenal-Nottingham Forest,Arsenal,Bukayo Saka,1,2023,22276,2023-08-12 11:30:00,531998,83,7322,603698,William Saliba,0.037814829498529434,0.794000015258789,0.375,31,Left Foot,Open Play,Goal
ENG-Premier League,2324,2023-08-12 Arsenal-Nottingham Forest,Arsenal,Bukayo Saka,1,2023,22276,2023-08-12 11:30:00,532010,83,7322,603701,Kai Havertz,0.14559100568294525,0.9119999694824219,0.5209999847412109,86,Left Foot,Open Play,Saved Shot
ENG-Premier League,2324,2023-08-12 Arsenal-Nottingham Forest,Arsenal,Declan Rice,1,2023,22276,2023-08-12 11:30:00,532000,83,5553,603704,Bukayo Saka,0.01737094298005104,0.7180000305175781,0.6309999847412109,43,Right Foot,Open Play,Saved Shot
ENG-Premier League,2324,2023-08-12 Arsenal-Nottingham Forest,Arsenal,Declan Rice,1,2023,22276,2023-08-12 11:30:00,532004,83,5553,603701,Kai Havertz,0.033978916704654694,0.7780000305175782,0.4329999923706055,75,Right Foot,Open Play,Saved Shot
ENG-Premier League,2324,2023-08-12 Arsenal-Nottingham Forest,Arsenal,Declan Rice,1,2023,22276,2023-08-12 11:30:00,532006,83,5553,,,0.06948760896921158,0.865999984741211,0.5329999923706055,80,Right Foot,Open Play,Saved Shot
ENG-Premier League,2324,2023-08-12 Arsenal-Nottingham Forest,Arsenal,Eddie Nketiah,1,2023,22276,2023-08-12 11:30:00,531993,83,6482,603704,Bukayo Saka,0.08700478076934814,0.95,0.5979999923706054,9,,Open Play,Missed Shot
ENG-Premier League,2324,2023-08-12 Arsenal-Nottingham Forest,Arsenal,Eddie Nketiah,1,2023,22276,2023-08-12 11:30:00,531997,83,6482,603706,Gabriel Martinelli,0.06297741830348969,0.8809999847412109,0.5690000152587891,25,Right Foot,From Corner,Goal
ENG-Premier League,2324,2023-08-12 Arsenal-Nottingham Forest,Arsenal,Eddie Nketiah,1,2023,22276,2023-08-12 11:30:00,531999,83,6482,,,0.07902981340885162,0.9159999847412109,0.34200000762939453,37,Right Foot,Open Play,Missed Shot
ENG-Premier League,2324,2023-08-12 Arsenal-Nottingham Forest,Arsenal,Kai Havertz,1,2023,22276,2023-08-12 11:30:00,531995,83,5220,603706,Gabriel Martinelli,0.03973983973264694,0.794000015258789,0.5479999923706055,23,Left Foot,Open Play,Blocked Shot
ENG-Premier League,2324,2023-08-12 Arsenal-Nottingham Forest,Arsenal,Kai Havertz,1,2023,22276,2023-08-12 11:30:00,532009,83,5220,603702,Martin Odegaard,0.06931421905755997,0.9430000305175781,0.30100000381469727,84,Right Foot,Open Play,Blocked Shot
ENG-Premier League,2324,2023-08-12 Arsenal-Nottingham Forest,Arsenal,Martin Odegaard,1,2023,22276,2023-08-12 11:30:00,532002,83,2517,603697,Thomas Partey,0.036525920033454895,0.8490000152587891,0.2620000076293945,68,Left Foot,Open Play,Blocked Shot
ENG-Premier League,2324,2023-08-12 Arsenal-Nottingham Forest,Arsenal,Martin Odegaard,1,2023,22276,2023-08-12 11:30:00,532011,83,2517,603707,Leandro Trossard,0.047283489257097244,0.7730000305175782,0.625999984741211,92,Left Foot,Open Play,Blocked Shot
