league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions
ENG-Premier League,1819,2018-08-10 Manchester United-Leicester,1,2018,9197,2018-08-10 22:00:00,89,75,Manchester United,Leicester,LEI,MUN,0,1.5013999999999998,1,1.73813,1.73813,0.9855999999999999,11.461538461538462,10,3,1.1711,2,1.5137,0.75253,-0.9855999999999999,15.833333333333334,3
ENG-Premier League,1819,2018-08-11 Bournemouth-Cardiff,1,2018,9202,2018-08-11 17:00:00,73,227,Bournemouth,Cardiff,CAR,BOU,0,0.5473,0,1.50693,1.50693,-0.33211999999999997,15.823529411764707,5,3,2.2423,2,2.60022,1.83905,0.33211999999999997,5.631578947368421,12
ENG-Premier League,1819,2018-08-11 Fulham-Crystal Palace,1,2018,9201,2018-08-11 17:00:00,228,78,Fulham,Crystal Palace,CRY,FLH,3,1.7504,2,1.07816,1.07816,0.44008400000000003,22.789473684210527,8,0,0.9254,0,0.638076,0.638076,-0.44008400000000003,4.534883720930233,3
ENG-Premier League,1819,2018-08-11 Huddersfield-Chelsea,1,2018,9200,2018-08-11 17:00:00,219,80,Huddersfield,Chelsea,CHE,HUD,3,2.7336,3,2.31427,1.5531,1.156985,12.666666666666666,4,0,0.1653,0,0.396115,0.396115,-1.156985,11.545454545454545,2
ENG-Premier League,1819,2018-08-11 Newcastle United-Tottenham,1,2018,9198,2018-08-11 14:30:00,86,82,Newcastle United,Tottenham,TOT,NEW,3,2.4642,2,2.58097,2.58097,1.6064730000000003,5.6571428571428575,3,0,0.3879,1,0.974497,0.974497,-1.6064730000000003,17.45,8
ENG-Premier League,1819,2018-08-11 Watford-Brighton,1,2018,9199,2018-08-11 17:00:00,90,220,Watford,Brighton,BRI,WAT,0,0.5538000000000001,0,0.45504,0.45504,-0.9686800000000001,14.25,2,3,2.1888,2,1.42372,1.42372,0.9686800000000001,8.703703703703704,8
ENG-Premier League,1819,2018-08-11 Wolverhampton Wanderers-Everton,1,2018,9203,2018-08-11 19:30:00,229,72,Wolverhampton Wanderers,Everton,EVE,WOL,1,1.1703999999999999,2,0.715382,0.715382,-0.17565600000000003,15.6,2,1,1.4521,2,0.891038,0.891038,0.17565600000000003,25.333333333333332,4
ENG-Premier League,1819,2018-08-12 Arsenal-Manchester City,1,2018,9206,2018-08-12 18:00:00,83,88,Arsenal,Manchester City,MCI,ARS,3,2.5791,2,2.0178,2.0178,1.5726129999999998,10.954545454545455,8,0,0.2781,0,0.445187,0.445187,-1.5726129999999998,13.56,8
ENG-Premier League,1819,2018-08-12 Liverpool-West Ham,1,2018,9205,2018-08-12 15:30:00,87,81,Liverpool,West Ham,WHU,LIV,0,0.0137,0,0.404253,0.404253,-3.9399570000000006,25.1875,3,3,2.9770999999999996,4,4.34421,4.34421,3.9399570000000006,8.03225806451613,16
ENG-Premier League,1819,2018-08-12 Southampton-Burnley,1,2018,9204,2018-08-12 15:30:00,74,92,Southampton,Burnley,BUR,SOU,1,1.6760000000000002,0,1.40827,1.40827,0.38832999999999984,7.809523809523809,7,1,1.0448,0,1.01994,1.01994,-0.38832999999999984,16.583333333333332,3
ENG-Premier League,1819,2018-08-18 Cardiff-Newcastle United,1,2018,9207,2018-08-18 14:30:00,227,86,Cardiff,Newcastle United,NEW,CAR,1,1.7041,0,1.55405,0.79288,-0.36233000000000004,6.294117647058823,3,1,1.0033,0,1.15521,1.15521,0.36233000000000004,5.033333333333333,3
ENG-Premier League,1819,2018-08-18 Chelsea-Arsenal,1,2018,9212,2018-08-18 19:30:00,80,83,Chelsea,Arsenal,ARS,CHE,0,1.9,2,2.45798,2.45798,0.7399900000000001,18.136363636363637,7,3,0.8965000000000001,3,1.71799,1.71799,-0.7399900000000001,10.76,10
ENG-Premier League,1819,2018-08-18 Everton-Southampton,1,2018,9211,2018-08-18 17:00:00,72,74,Everton,Southampton,SOU,EVE,0,1.1668,1,1.77471,1.77471,-0.24532999999999983,9.818181818181818,7,3,1.564,2,2.02004,2.02004,0.24532999999999983,5.074074074074074,4
ENG-Premier League,1819,2018-08-18 Leicester-Wolverhampton Wanderers,1,2018,9210,2018-08-18 17:00:00,75,229,Leicester,Wolverhampton Wanderers,WOL,LEI,0,2.2447,0,1.09349,1.09349,0.8706470000000001,7.129032258064516,6,3,0.4633,2,0.222843,0.222843,-0.8706470000000001,15.38888888888889,4
ENG-Premier League,1819,2018-08-18 Tottenham-Fulham,1,2018,9209,2018-08-18 17:00:00,82,228,Tottenham,Fulham,FLH,TOT,0,0.3842,1,1.44253,1.44253,-1.8245999999999998,89.5,4,3,2.48,3,3.26713,3.26713,1.8245999999999998,8.382352941176471,20
ENG-Premier League,1819,2018-08-18 West Ham-Bournemouth,1,2018,9208,2018-08-18 17:00:00,81,73,West Ham,Bournemouth,BOU,WHU,3,1.8233000000000001,2,1.69077,1.69077,1.3491110000000002,15.411764705882353,10,0,0.8825000000000001,1,1.10275,0.341659,-1.3491110000000002,6.769230769230769,9
ENG-Premier League,1819,2018-08-19 Brighton-Manchester United,1,2018,9215,2018-08-19 18:00:00,220,89,Brighton,Manchester United,MUN,BRI,0,1.244,2,1.56579,0.804623,-0.07092600000000004,9.357142857142858,5,3,1.4086999999999998,3,1.63672,0.875549,0.07092600000000004,11.027777777777779,2
ENG-Premier League,1819,2018-08-19 Burnley-Watford,1,2018,9214,2018-08-19 15:30:00,92,90,Burnley,Watford,WAT,BUR,3,2.6639999999999997,3,1.9171,1.9171,1.524458,8.73076923076923,9,0,0.213,1,0.392642,0.392642,-1.524458,7.842105263157895,4
ENG-Premier League,1819,2018-08-19 Manchester City-Huddersfield,1,2018,9213,2018-08-19 15:30:00,88,219,Manchester City,Huddersfield,HUD,MCI,0,0.0258,1,0.663731,0.663731,-3.939829,35.22222222222222,4,3,2.9558999999999997,6,4.60356,4.60356,3.939829,9.181818181818182,17
ENG-Premier League,1819,2018-08-20 Crystal Palace-Liverpool,1,2018,9216,2018-08-20 22:00:00,78,87,Crystal Palace,Liverpool,LIV,CRY,3,2.8541,2,2.82183,2.06066,1.692052,7.428571428571429,17,0,0.08960000000000001,0,0.368608,0.368608,-1.692052,30.083333333333332,3
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham,1,2018,9222,2018-08-25 17:00:00,83,81,Arsenal,West Ham,WHU,ARS,0,0.9287000000000001,1,1.17924,1.17924,-0.6059599999999998,17.72222222222222,10,3,1.8238999999999999,3,1.7852,1.7852,0.6059599999999998,5.03030303030303,8
ENG-Premier League,1819,2018-08-25 Bournemouth-Everton,1,2018,9221,2018-08-25 17:00:00,73,72,Bournemouth,Everton,EVE,BOU,1,0.18460000000000001,2,0.543665,0.543665,-1.283865,9.454545454545455,4,1,2.7217000000000002,2,2.5887,1.82753,1.283865,9.35,11
