team,team_id,player_name,player_id,position,dateOfBirth,nationality
AFC Bournemouth,1044,Đorđe Petrović,121765,Goalkeeper,1999-10-08,Serbia
AFC Bournemouth,1044,Will Dennis,131127,Goalkeeper,2000-07-10,England
AFC Bournemouth,1044,Veljko Milosavljević,227046,Defence,2007-06-28,Serbia
AFC Bournemouth,1044,Remy Rees-Dottin,273757,Offence,2006-03-06,England
AFC Bournemouth,1044,Álex Jiménez,227048,Right-Back,2005-05-08,Spain
AFC Bournemouth,1044,Eli Kroupi,204241,Centre-Forward,2006-06-23,France
AFC Bournemouth,1044,Julio Soler,183583,Left-Back,2005-02-16,Argentina
AFC Bournemouth,1044,Ben Doak,176789,Right Winger,2005-11-11,Scotland
AFC Bournemouth,1044,Alex Scott,161088,Central Midfield,2003-08-21,England
AFC Bournemouth,1044,Amine Adli,137047,Left Winger,2000-05-10,Morocco
AFC Bournemouth,1044,Adrien Truffert,135482,Left-Back,2001-11-20,France
AFC Bournemouth,1044,Evanilson,131260,Centre-Forward,1999-10-06,Brazil
AFC Bournemouth,1044,Julian Araujo,113335,Right-Back,2001-08-13,Mexico
AFC Bournemouth,1044,Bafodé Diakité,98745,Centre-Back,2001-01-06,France
AFC Bournemouth,1044,James Hill,82145,Centre-Back,2002-01-10,England
AFC Bournemouth,1044,Tyler Adams,77596,Defensive Midfield,1999-02-14,USA
AFC Bournemouth,1044,Marcos Senesi,46046,Centre-Back,1997-05-10,Argentina
AFC Bournemouth,1044,Ryan Christie,34495,Central Midfield,1995-02-22,Scotland
AFC Bournemouth,1044,Enes Ünal,33132,Centre-Forward,1997-05-10,Turkey
AFC Bournemouth,1044,Adam Smith,8231,Right-Back,1991-04-29,England
AFC Bournemouth,1044,Justin Kluivert,7561,Left Winger,1999-05-05,Netherlands
AFC Bournemouth,1044,Marcus Tavernier,6396,Left Midfield,1999-03-22,England
AFC Bournemouth,1044,Antoine Semenyo,4417,Right Winger,2000-01-07,Ghana
AFC Bournemouth,1044,David Brooks,4321,Right Winger,1997-07-08,Wales
AFC Bournemouth,1044,Lewis Cook,3327,Central Midfield,1997-02-03,England
