team,team_id,player_name,player_id,position,dateOfBirth,nationality
Arsenal FC,57,Kepa Arrizabalaga,3189,Goalkeeper,1994-10-03,Spain
Arsenal FC,57,David Raya,4832,Goalkeeper,1995-09-15,Spain
Arsenal FC,57,Tommy Setford,171455,Goalkeeper,2006-03-13,England
Arsenal FC,57,Max Dowman,285128,Midfield,2009-12-31,England
Arsenal FC,57,Andre Harriman-Annous,285598,Offence,2007-12-27,England
Arsenal FC,57,Myles Lewis-Skelly,244120,Left-Back,2006-09-26,England
Arsenal FC,57,Ethan Nwaneri,188476,Attacking Midfield,2007-03-21,England
Arsenal FC,57,Cristhian Mosquera,172839,Centre-Back,2004-06-27,Spain
Arsenal FC,57,Noni Madueke,167720,Right Winger,2002-03-10,England
Arsenal FC,57,Riccardo Calafiori,133512,Left-Back,2002-05-19,Italy
Arsenal FC,57,Piero Hincapié,125674,Centre-Back,2002-01-09,Ecuador
Arsenal FC,57,Martín Zubimendi,115035,Defensive Midfield,1999-02-02,Spain
Arsenal FC,57,Bukayo Saka,99813,Right Winger,2001-09-05,England
Arsenal FC,57,Jurrien Timber,98816,Right-Back,2001-06-17,Netherlands
Arsenal FC,57,William Saliba,80171,Centre-Back,2001-03-24,France
Arsenal FC,57,Martinelli,61450,Left Winger,2001-06-18,Brazil
Arsenal FC,57,Christian Nørgaard,24102,Defensive Midfield,1994-03-10,Denmark
Arsenal FC,57,Gabriel,23128,Centre-Back,1997-12-19,Brazil
Arsenal FC,57,Leandro Trossard,8984,Left Winger,1994-12-04,Belgium
Arsenal FC,57,Viktor Gyökeres,8279,Centre-Forward,1998-06-04,Sweden
Arsenal FC,57,Declan Rice,8215,Central Midfield,1999-01-14,England
Arsenal FC,57,Mikel Merino,7935,Central Midfield,1996-06-22,Spain
Arsenal FC,57,Martin Ødegaard,7427,Attacking Midfield,1998-12-17,Norway
Arsenal FC,57,Ben White,6154,Right-Back,1997-10-08,England
Arsenal FC,57,Eberechi Eze,4032,Attacking Midfield,1998-06-29,England
Arsenal FC,57,Gabriel Jesus,3236,Centre-Forward,1997-04-03,Brazil
Arsenal FC,57,Kai Havertz,171,Centre-Forward,1999-06-11,Germany
