team,team_id,player_name,player_id,position,dateOfBirth,nationality
Aston Villa FC,58,Emiliano Martínez,3141,Goalkeeper,1992-09-02,Argentina
Aston Villa FC,58,Marco Bizot,7675,Goalkeeper,1991-03-10,Netherlands
Aston Villa FC,58,James Wright,204460,Goalkeeper,2004-12-02,England
Aston Villa FC,58,Sam Proctor,244962,Goalkeeper,2006-12-21,England
Aston Villa FC,58,Russ Oakley,286821,Goalkeeper,2008-09-16,England
Aston Villa FC,58,Ben Broggio,270628,Midfield,2007-01-29,England
Aston Villa FC,58,Aidan Borland,270631,Midfield,2007-04-25,Scotland
Aston Villa FC,58,Jamaldeen Jimoh,270633,Midfield,2006-10-02,England
Aston Villa FC,58,Bradley Burrowes,274024,Midfield,2008-03-04,England
Aston Villa FC,58,Pau Torres,33109,Centre-Back,1997-01-16,Spain
Aston Villa FC,58,Emiliano Buendía,31941,Attacking Midfield,1996-12-25,Argentina
Aston Villa FC,58,Matty Cash,11644,Right-Back,1997-08-07,Poland
Aston Villa FC,58,Boubacar Kamara,8346,Defensive Midfield,1999-11-23,France
Aston Villa FC,58,Tyrone Mings,8235,Centre-Back,1993-03-13,England
Aston Villa FC,58,Ross Barkley,7817,Central Midfield,1993-12-05,England
Aston Villa FC,58,Donyell Malen,7457,Right Winger,1999-01-19,Netherlands
Aston Villa FC,58,Ezri Konsa,6317,Centre-Back,1998-04-06,England
Aston Villa FC,58,Ollie Watkins,4444,Centre-Forward,1995-12-30,England
Aston Villa FC,58,Youri Tielemans,3658,Central Midfield,1997-05-07,Belgium
Aston Villa FC,58,Victor Nilsson-Lindelöf,3492,Centre-Back,1994-07-17,Sweden
Aston Villa FC,58,Lucas Digne,3359,Left-Back,1993-07-20,France
Aston Villa FC,58,Jadon Sancho,146,Left Winger,2000-03-25,England
Aston Villa FC,58,Travis Patterson,204428,Left-Back,2005-10-06,England
Aston Villa FC,58,Andrés Garcia,203594,Right-Back,2003-02-07,Spain
Aston Villa FC,58,Lamare Bogarde,172899,Defensive Midfield,2004-01-05,Netherlands
Aston Villa FC,58,Ian Maatsen,131120,Left-Back,2002-03-10,Netherlands
Aston Villa FC,58,Evann Guessand,128710,Centre-Forward,2001-07-01,France
Aston Villa FC,58,Harvey Elliott,124824,Central Midfield,2003-04-04,England
Aston Villa FC,58,Amadou Onana,114024,Defensive Midfield,2001-08-16,Belgium
Aston Villa FC,58,Morgan Rogers,82140,Attacking Midfield,2002-07-26,England
Aston Villa FC,58,John McGinn,34646,Central Midfield,1994-10-18,Scotland
