team,team_id,player_name,player_id,position,dateOfBirth,nationality
Brentford FC,402,Ellery Balcombe,4419,Goalkeeper,1999-10-15,England
Brentford FC,402,Caoimhin Kelleher,102046,Goalkeeper,1998-11-23,Ireland
Brentford FC,402,Hákon Rafn Valdimarsson,144530,Goalkeeper,2001-10-13,Iceland
Brentford FC,402,Matthew Cox,150464,Goalkeeper,2003-05-02,England
Brentford FC,402,Julian Eyestone,274963,Goalkeeper,2006-04-21,USA
Brentford FC,402,Romelle Donovan,191077,Midfield,1974-01-01,England
Brentford FC,402,Thiago Rodrigues,175994,Offence,2001-06-26,Brazil
Brentford FC,402,Edmond-Paris Maghoma,138015,Central Midfield,2001-05-08,England
Brentford FC,402,Kevin Schade,123286,Left Winger,2001-11-27,Germany
Brentford FC,402,Nathan Collins,115642,Centre-Back,2001-04-30,Ireland
Brentford FC,402,Keane Lewis-Potter,101910,Left Winger,2001-02-22,England
Brentford FC,402,Aaron Hickey,101111,Right-Back,2002-01-01,Scotland
Brentford FC,402,Mikkel Damsgaard,24238,Left Winger,2000-07-03,Denmark
Brentford FC,402,Frank Onyeka,24210,Central Midfield,1998-01-01,Nigeria
Brentford FC,402,Kristoffer Ajer,16068,Centre-Back,1998-04-17,Norway
Brentford FC,402,Mathias Jensen,10194,Central Midfield,1996-01-01,Denmark
Brentford FC,402,Vitaly Janelt,10000,Defensive Midfield,1998-05-10,Germany
Brentford FC,402,Reiss Nelson,7799,Right Winger,1999-12-10,England
Brentford FC,402,Sepp van den Berg,7720,Centre-Back,2001-12-20,Netherlands
Brentford FC,402,Rico Henry,4426,Left-Back,1997-07-08,England
Brentford FC,402,Ethan Pinnock,4334,Centre-Back,1993-05-29,Jamaica
Brentford FC,402,Jordan Henderson,3320,Central Midfield,1990-06-17,England
Brentford FC,402,Benjamin Arthur,249409,Centre-Back,2005-10-09,England
Brentford FC,402,Yunus Konak,214532,Defensive Midfield,,Turkey
Brentford FC,402,Gustavo Gomes,213296,Left Winger,2005-11-20,Brazil
Brentford FC,402,Yegor Yarmolyuk,204421,Attacking Midfield,2004-03-01,Ukraine
Brentford FC,402,Michael Kayode,204348,Right-Back,2004-07-10,Italy
Brentford FC,402,Dango Ouattara,177305,Left Winger,2002-02-11,Burkina Faso
Brentford FC,402,Antoni Milambo,171965,Central Midfield,2005-04-03,Netherlands
Brentford FC,402,Myles Peart-Harris,171099,Attacking Midfield,2002-09-18,England
Brentford FC,402,Fabio Carvalho,151119,Attacking Midfield,2002-08-30,Portugal
