team,team_id,player_name,player_id,position,dateOfBirth,nationality
Brighton & Hove Albion FC,397,Jason Steele,4040,Goalkeeper,1990-08-18,England
Brighton & Hove Albion FC,397,Bart Verbruggen,126870,Goalkeeper,2002-08-18,Netherlands
Brighton & Hove Albion FC,397,Thomas McGill,140203,Goalkeeper,2000-03-25,England
Brighton & Hove Albion FC,397,Maxim De Cuyper,142075,Defence,2000-12-22,Belgium
Brighton & Hove Albion FC,397,Charlie Tasker,277479,Defence,2006-02-24,England
Brighton & Hove Albion FC,397,Freddie Simmonds,277783,Defence,2008-03-09,England
Brighton & Hove Albion FC,397,Tom Watson,190925,Midfield,2006-04-08,England
Brighton & Hove Albion FC,397,Nehemiah Oriola,287852,Midfield,2007-06-11,England
Brighton & Hove Albion FC,397,Charalampos Kostoulas,264300,Offence,2007-05-30,Greece
Brighton & Hove Albion FC,397,Harry Howell,277782,Offence,2008-04-20,England
Brighton & Hove Albion FC,397,Stefanos Tzimas,209504,Centre-Forward,2006-01-06,Greece
Brighton & Hove Albion FC,397,Brajan Gruda,191102,Right Winger,2004-05-31,Germany
Brighton & Hove Albion FC,397,Jack Hinshelwood,190851,Central Midfield,2005-04-11,England
Brighton & Hove Albion FC,397,Yankubah Minteh,187482,Right Winger,2004-07-22,Gambia
Brighton & Hove Albion FC,397,Diego Gómez,178951,Central Midfield,2003-03-27,Paraguay
Brighton & Hove Albion FC,397,Carlos Baleba,178604,Defensive Midfield,2004-01-03,Cameroon
Brighton & Hove Albion FC,397,Diego Coppola,176720,Centre-Back,2003-12-28,Italy
Brighton & Hove Albion FC,397,Solly March,161365,Right Winger,1994-07-20,England
Brighton & Hove Albion FC,397,Yasin Ayari,145613,Central Midfield,2003-10-06,Sweden
Brighton & Hove Albion FC,397,Kaoru Mitoma,132707,Left Winger,1997-05-20,Japan
Brighton & Hove Albion FC,397,Jan Paul van Hecke,98566,Centre-Back,2000-06-08,Netherlands
Brighton & Hove Albion FC,397,Mats Wieffer,97505,Defensive Midfield,1999-11-16,Netherlands
Brighton & Hove Albion FC,397,Georginio Rutter,81189,Centre-Forward,2002-04-20,France
Brighton & Hove Albion FC,397,Ferdi Kadıoğlu,9869,Left-Back,1999-10-07,Turkey
Brighton & Hove Albion FC,397,Lewis Dunk,8259,Centre-Back,1991-11-21,England
Brighton & Hove Albion FC,397,James Milner,7861,Central Midfield,1986-01-04,England
Brighton & Hove Albion FC,397,Joël Veltman,7547,Right-Back,1992-01-15,Netherlands
Brighton & Hove Albion FC,397,Adam Webster,4228,Centre-Back,1995-01-04,England
Brighton & Hove Albion FC,397,Danny Welbeck,3328,Centre-Forward,1990-11-26,England
Brighton & Hove Albion FC,397,Olivier Boscagli,846,Centre-Back,1997-11-18,France
