team,team_id,player_name,player_id,position,dateOfBirth,nationality
Burnley FC,328,Martin Dúbravka,7914,Goalkeeper,1989-01-15,Slovakia
Burnley FC,328,Václav Hladký,62651,Goalkeeper,1990-11-14,Czech Republic
Burnley FC,328,Max Weiss,175800,Goalkeeper,2004-06-15,Germany
Burnley FC,328,Oliver Sonne,124501,Defence,2000-11-10,Denmark
Burnley FC,328,Murray Campbell,190916,Defence,2006-07-25,Scotland
Burnley FC,328,Marley Leuluai,285393,Defence,2006-11-08,England
Burnley FC,328,Enock Agyei,192680,Midfield,2005-01-13,Belgium
Burnley FC,328,Mike Trésor,207566,Midfield,1999-05-28,Belgium
Burnley FC,328,Josh Laurent,213243,Midfield,1995-05-06,England
Burnley FC,328,Oliver Pimlott,285388,Midfield,2007-04-07,England
Burnley FC,328,Ellis Clark,286640,Midfield,2007-06-26,Scotland
Burnley FC,328,George Brierley,286650,Midfield,2007-11-20,England
Burnley FC,328,Zeki Amdouni,122313,Offence,2000-12-04,Switzerland
Burnley FC,328,Jaydon Banel,176952,Offence,2004-10-19,Netherlands
Burnley FC,328,Brandon Pouani,286670,Offence,2007-12-10,England
Burnley FC,328,Armando Broja,143054,Centre-Forward,2001-09-10,Albania
Burnley FC,328,Zian Flemming,67893,Attacking Midfield,1998-08-01,Netherlands
Burnley FC,328,Florentino,37560,Defensive Midfield,1999-08-19,Portugal
Burnley FC,328,Lyle Foster,34760,Centre-Forward,2000-09-04,South Africa
Burnley FC,328,Hjalmar Ekdal,31560,Centre-Back,1998-10-21,Sweden
Burnley FC,328,Joe Worrall,11298,Centre-Back,1997-01-10,England
Burnley FC,328,Jacob Bruun Larsen,9405,Left Winger,1998-09-19,Denmark
Burnley FC,328,Hannes Delcroix,8845,Centre-Back,1999-02-28,Belgium
Burnley FC,328,Josh Cullen,8217,Defensive Midfield,1996-04-07,Ireland
Burnley FC,328,Ashley Barnes,8054,Centre-Forward,1989-10-30,England
Burnley FC,328,Connor Roberts,7980,Right-Back,1995-09-23,Wales
Burnley FC,328,Louis Beyer,6678,Centre-Back,2000-05-19,Germany
Burnley FC,328,Marcus Edwards,3999,Right Winger,1998-12-03,England
Burnley FC,328,Axel Tuanzebe,3894,Right-Back,1997-11-14,DR Congo
Burnley FC,328,Kyle Walker,3311,Right-Back,1990-05-28,England
Burnley FC,328,Bashir Humphreys,190547,Centre-Back,2003-03-15,England
Burnley FC,328,Quilindschy Hartman,187219,Left-Back,2001-11-14,Netherlands
Burnley FC,328,Lucas Pires,177627,Left-Back,2001-03-24,Brazil
Burnley FC,328,Maxime Estève,175784,Centre-Back,2002-05-26,France
Burnley FC,328,Loum Tchaouna,170394,Right Winger,2003-09-08,France
Burnley FC,328,Hannibal Mejbri,169325,Attacking Midfield,2003-01-21,Tunisia
Burnley FC,328,Chimuanya Ugochukwu,153555,Defensive Midfield,2004-03-26,France
Burnley FC,328,Jaidon Anthony,150778,Left Winger,1999-12-01,England
