team,team_id,player_name,player_id,position,dateOfBirth,nationality
Chelsea FC,61,Robert Sánchez,135555,Goalkeeper,1997-11-18,Spain
Chelsea FC,61,Gabriel Slonina,137544,Goalkeeper,2004-05-15,USA
Chelsea FC,61,Filip Jörgensen,153828,Goalkeeper,2002-04-16,Denmark
Chelsea FC,61,Max Merrick,246715,Goalkeeper,2005-11-10,England
Chelsea FC,61,Ted Curd,246743,Goalkeeper,2006-02-14,England
Chelsea FC,61,Landon Emenalo,277888,Defence,2008-01-18,USA
Chelsea FC,61,Reggie Walsh,276866,Midfield,2008-10-20,England
Chelsea FC,61,Estevao,244778,Offence,2006-04-24,Brazil
Chelsea FC,61,Shumaira Mheuka,272058,Offence,2007-10-20,England
Chelsea FC,61,Ryan Kavuma-McQueen,287945,Offence,2009-01-01,England
Chelsea FC,61,Andrey Santos,166366,Central Midfield,2004-05-03,Brazil
Chelsea FC,61,Dario Essugo,165314,Defensive Midfield,2005-03-14,Portugal
Chelsea FC,61,Malo Gusto,152498,Right-Back,2003-05-19,France
Chelsea FC,61,Liam Delap,151095,Centre-Forward,2003-02-08,England
Chelsea FC,61,Cole Palmer,144892,Attacking Midfield,2002-05-06,England
Chelsea FC,61,Moisés Caicedo,121103,Defensive Midfield,2001-11-02,Ecuador
Chelsea FC,61,João Pedro,103125,Centre-Forward,2001-09-26,Brazil
Chelsea FC,61,Enzo Fernández,102603,Central Midfield,2001-01-17,Argentina
Chelsea FC,61,Mykhailo Mudryk,98978,Left Winger,2001-01-05,Ukraine
Chelsea FC,61,Reece James,56628,Right-Back,1999-12-08,England
Chelsea FC,61,Cucurella,15863,Left-Back,1998-07-22,Spain
Chelsea FC,61,Wesley Fofana,8545,Centre-Back,2000-12-17,France
Chelsea FC,61,Tosin Adarabioyo,7880,Centre-Back,1997-09-24,England
Chelsea FC,61,Trevoh Chalobah,7810,Centre-Back,1999-07-05,England
Chelsea FC,61,Raheem Sterling,3329,Right Winger,1994-12-08,England
Chelsea FC,61,Pedro Neto,2074,Right Winger,2000-03-09,Portugal
Chelsea FC,61,Axel Disasi,813,Centre-Back,1998-03-11,France
Chelsea FC,61,Tyrique George,250436,Left Winger,2006-02-04,England
Chelsea FC,61,Josh Acheampong,249320,Right-Back,2006-05-05,England
Chelsea FC,61,Ollie Harrison,247243,Defensive Midfield,2007-08-07,England
Chelsea FC,61,Marc Guiu,207109,Centre-Forward,2006-01-04,Spain
Chelsea FC,61,Jorrel Hato,189477,Centre-Back,2006-03-07,Netherlands
Chelsea FC,61,Facundo Buonanotte,184273,Attacking Midfield,2004-12-23,Argentina
Chelsea FC,61,Alejandro Garnacho,181901,Left Winger,2004-07-01,Argentina
Chelsea FC,61,Jamie Bynoe-Gittens,179460,Left Winger,2004-08-08,England
Chelsea FC,61,Romeo Lavia,172738,Defensive Midfield,2004-01-06,Belgium
Chelsea FC,61,Levi Colwill,170440,Centre-Back,2003-02-26,England
Chelsea FC,61,Benoît Badiashile,170426,Centre-Back,2001-03-26,France
