team,team_id,player_name,player_id,position,dateOfBirth,nationality
Crystal Palace FC,354,Dean Henderson,5457,Goalkeeper,1997-03-12,England
Crystal Palace FC,354,Remi Matthews,6413,Goalkeeper,1994-02-10,England
Crystal Palace FC,354,Walter Benítez,8420,Goalkeeper,1993-03-19,Argentina
Crystal Palace FC,354,Jaydee Canvot,260271,Defence,2006-07-29,France
Crystal Palace FC,354,Rio Cardines,278973,Defence,2006-01-07,Trinidad & Tobago
Crystal Palace FC,354,Adam Wharton,180389,Midfield,2004-02-06,England
Crystal Palace FC,354,Yeremy,180081,Offence,2002-10-20,Spain
Crystal Palace FC,354,Caleb Kporha,270859,Right-Back,2006-07-15,England
Crystal Palace FC,354,Chrisantus,260763,Attacking Midfield,2003-05-19,Nigeria
Crystal Palace FC,354,Romain Esse,190550,Attacking Midfield,1999-02-06,England
Crystal Palace FC,354,Kaden Rodney,187401,Defensive Midfield,2004-10-07,England
Crystal Palace FC,354,Justin Devenny,152149,Central Midfield,2003-10-11,Northern Ireland
Crystal Palace FC,354,Chadi Riad,150948,Centre-Back,2003-06-17,Morocco
Crystal Palace FC,354,Tyrick Mitchell,137068,Left-Back,1999-09-01,England
Crystal Palace FC,354,Naouirou Ahamada,131752,Central Midfield,2002-03-29,France
Crystal Palace FC,354,Marc Guéhi,118489,Centre-Back,2000-07-13,England
Crystal Palace FC,354,Chris Richards,99856,Centre-Back,2000-03-28,USA
Crystal Palace FC,354,Maxence Lacroix,82351,Centre-Back,2000-04-06,France
Crystal Palace FC,354,Cheick Doucouré,74677,Defensive Midfield,2000-01-08,Mali
Crystal Palace FC,354,Daniel Muñoz,22010,Right-Back,1996-05-26,Colombia
Crystal Palace FC,354,Borna Sosa,10208,Left Midfield,1998-01-21,Croatia
Crystal Palace FC,354,Will Hughes,8124,Central Midfield,1995-04-17,England
Crystal Palace FC,354,Nathaniel Clyne,7863,Right-Back,1991-04-05,England
Crystal Palace FC,354,Eddie Nketiah,7800,Centre-Forward,1999-05-30,England
Crystal Palace FC,354,Daichi Kamada,6716,Attacking Midfield,1996-08-05,Japan
Crystal Palace FC,354,Jefferson Lerma,3737,Defensive Midfield,1994-10-25,Colombia
Crystal Palace FC,354,Ismaïla Sarr,3638,Right Winger,1998-02-25,Senegal
Crystal Palace FC,354,Jean-Philippe Mateta,641,Centre-Forward,1997-06-28,France
