team,team_id,player_name,player_id,position,dateOfBirth,nationality
Everton FC,62,Jordan Pickford,3309,Goalkeeper,1994-03-07,England
Everton FC,62,Thomas King,6180,Goalkeeper,1995-03-09,Wales
Everton FC,62,Mark Travers,82135,Goalkeeper,1999-05-18,Ireland
Everton FC,62,Harry Tyrer,160451,Goalkeeper,2001-12-06,England
Everton FC,62,Adam Aznou,246476,Left-Back,2006-06-02,Morocco
Everton FC,62,Elijah Campbell,244819,Centre-Back,2004-08-02,England
Everton FC,62,Tyler Dibling,218525,Right Winger,2006-02-17,England
Everton FC,62,Thierno Barry,171995,Centre-Forward,2000-01-12,France
Everton FC,62,Tim Iroegbunam,169326,Central Midfield,2002-08-12,England
Everton FC,62,Merlin Röhl,156552,Central Midfield,2002-07-05,Germany
Everton FC,62,Carlos Alcaraz,140269,Central Midfield,2002-11-30,Argentina
Everton FC,62,Kiernan Dewsbury Hall,140194,Central Midfield,1998-09-06,England
Everton FC,62,Nathan Patterson,138174,Right-Back,2001-10-16,Scotland
Everton FC,62,Jake O'Brien,131569,Centre-Back,2001-05-15,Ireland
Everton FC,62,Beto,125044,Centre-Forward,1998-01-31,Portugal
Everton FC,62,Jarrad Branthwaite,114120,Centre-Back,2002-06-27,England
Everton FC,62,James Garner,101076,Defensive Midfield,2001-03-13,England
Everton FC,62,Iliman Ndiaye,94091,Left Winger,1999-07-22,Senegal
Everton FC,62,Vitalii Mykolenko,16165,Left-Back,1999-05-29,Ukraine
Everton FC,62,Dwight McNeil,11623,Attacking Midfield,1999-11-22,England
Everton FC,62,Séamus Coleman,7836,Right-Back,1988-10-11,Ireland
Everton FC,62,Michael Keane,7829,Centre-Back,1993-01-11,England
Everton FC,62,Jack Grealish,3895,Left Winger,1995-09-10,England
Everton FC,62,Idrissa Gana Guèye,3627,Central Midfield,1989-09-26,Senegal
Everton FC,62,James Tarkowski,3316,Centre-Back,1992-11-19,England
