team,team_id,player_name,player_id,position,dateOfBirth,nationality
Fulham FC,63,Bernd Leno,3174,Goalkeeper,1992-03-04,Germany
Fulham FC,63,Benjamin Lecomte,8366,Goalkeeper,1991-04-26,France
Fulham FC,63,Kevin Santos,179122,Offence,2003-01-04,Brazil
Fulham FC,63,Jonah Kusi-Asare,217577,Offence,2007-07-04,Sweden
Fulham FC,63,Joshua King,246418,Central Midfield,2007-01-03,England
Fulham FC,63,Calvin Bassey,146154,Centre-Back,1999-12-31,Nigeria
Fulham FC,63,Rodrigo Muniz,138036,Centre-Forward,2001-05-04,Brazil
Fulham FC,63,Jorge Cuenca,98750,Centre-Back,1999-11-17,Spain
Fulham FC,63,Emile Smith Rowe,85570,Attacking Midfield,2000-07-28,England
Fulham FC,63,Samuel Chukwueze,33124,Right Winger,1999-05-22,Nigeria
Fulham FC,63,Saša Lukić,32938,Central Midfield,1996-08-13,Serbia
Fulham FC,63,Harry Wilson,11777,Right Winger,1997-03-22,Wales
Fulham FC,63,Sander Berge,8973,Defensive Midfield,1998-02-14,Norway
Fulham FC,63,Kenny Tete,8460,Right-Back,1995-10-09,Netherlands
Fulham FC,63,Issa Diop,8296,Centre-Back,1997-01-09,France
Fulham FC,63,Adama Traoré,4221,Right Winger,1996-01-25,Spain
Fulham FC,63,Harrison Reed,3995,Central Midfield,1995-01-27,England
Fulham FC,63,Tom Cairney,3965,Central Midfield,1991-01-20,England
Fulham FC,63,Ryan Sessegnon,3959,Left-Back,2000-05-18,England
Fulham FC,63,Antonee Robinson,3927,Left-Back,1997-08-08,USA
Fulham FC,63,Alex Iwobi,3392,Left Winger,1996-05-03,Nigeria
Fulham FC,63,Raúl Jiménez,3305,Centre-Forward,1991-05-05,Mexico
Fulham FC,63,Joachim Andersen,2253,Centre-Back,1996-05-31,Denmark
Fulham FC,63,Timothy Castagne,1836,Right-Back,1995-12-05,Belgium
