team,team_id,player_name,player_id,position,dateOfBirth,nationality
Leeds United FC,341,Lucas Perri,1331,Goalkeeper,1997-12-10,Brazil
Leeds United FC,341,Alex Cairns,5315,Goalkeeper,1993-01-04,England
Leeds United FC,341,Karl Darlow,7913,Goalkeeper,1990-10-08,Wales
Leeds United FC,341,Illan Meslier,74831,Goalkeeper,2000-03-02,France
Leeds United FC,341,Harry Gray,277983,Offence,2008-10-08,England
Leeds United FC,341,Wilfried Gnonto,180813,Right Winger,2003-11-05,Italy
Leeds United FC,341,Brenden Aaronson,113262,Attacking Midfield,2000-10-22,USA
Leeds United FC,341,Ilia Gruev,75284,Defensive Midfield,2000-05-06,Bulgaria
Leeds United FC,341,Jaka Bijol,74688,Centre-Back,1999-02-05,Slovenia
Leeds United FC,341,Joël Piroe,67978,Attacking Midfield,1999-08-02,Netherlands
Leeds United FC,341,Anton Stach,65843,Central Midfield,1998-11-15,Germany
Leeds United FC,341,Ao Tanaka,49105,Central Midfield,1998-09-10,Japan
Leeds United FC,341,Gabriel Gudmundsson,31531,Left-Back,1999-04-29,Sweden
Leeds United FC,341,Noah Okafor,16058,Left Winger,2000-05-24,Switzerland
Leeds United FC,341,Sebastiaan Bornauw,8847,Centre-Back,1999-03-22,Belgium
Leeds United FC,341,Sam Byram,8203,Right-Back,1993-09-16,England
Leeds United FC,341,Daniel James,7974,Right Winger,1997-11-10,Wales
Leeds United FC,341,Lukas Nmecha,7892,Centre-Forward,1998-12-14,Germany
Leeds United FC,341,Dominic Calvert-Lewin,7839,Centre-Forward,1997-03-16,England
Leeds United FC,341,Ethan Ampadu,7815,Defensive Midfield,2000-09-14,Wales
Leeds United FC,341,Joe Rodon,5714,Centre-Back,1997-10-22,Wales
Leeds United FC,341,James Justin,5613,Right-Back,1998-02-23,England
Leeds United FC,341,Sean Longstaff,4955,Central Midfield,1997-10-30,England
Leeds United FC,341,Jack Harrison,4220,Right Winger,1996-11-20,England
Leeds United FC,341,Jayden Bogle,4184,Right-Back,2000-07-27,England
Leeds United FC,341,Pascal Struijk,4146,Centre-Back,1999-08-11,Netherlands
