team,team_id,player_name,player_id,position,dateOfBirth,nationality
Liverpool FC,64,Alisson,1795,Goalkeeper,1992-10-02,Brazil
Liverpool FC,64,Freddie Woodman,11629,Goalkeeper,1997-03-04,England
Liverpool FC,64,Giorgi Mamardashvili,84506,Goalkeeper,2000-09-29,Georgia
Liverpool FC,64,Armin Pecsi,182236,Goalkeeper,2005-02-24,Hungary
Liverpool FC,64,Kornel Miściur,287947,Goalkeeper,2007-04-27,Poland
Liverpool FC,64,Stefan Bajcetic,186701,Defence,2004-10-22,Spain
Liverpool FC,64,Kieran Morrison,274726,Midfield,2006-11-09,Northern Ireland
Liverpool FC,64,Tommy Pilling,286622,Midfield,2004-09-14,England
Liverpool FC,64,Rio Ngumoha,273453,Offence,2008-08-29,England
Liverpool FC,64,Ryan Gravenberch,81793,Defensive Midfield,2002-05-16,Netherlands
Liverpool FC,64,Alexis Mac Allister,45681,Central Midfield,1998-12-24,Argentina
Liverpool FC,64,Florian Wirtz,19334,Attacking Midfield,2003-05-03,Germany
Liverpool FC,64,Dominik Szoboszlai,16347,Central Midfield,2000-10-25,Hungary
Liverpool FC,64,Ibrahima Konaté,9542,Centre-Back,1999-05-25,France
Liverpool FC,64,Curtis Jones,7873,Central Midfield,2001-01-30,England
Liverpool FC,64,Virgil van Dijk,7869,Centre-Back,1991-07-08,Netherlands
Liverpool FC,64,Andrew Robertson,7868,Left-Back,1994-03-11,Scotland
Liverpool FC,64,Joe Gomez,7862,Centre-Back,1997-05-23,England
Liverpool FC,64,Cody Gakpo,7459,Left Winger,1999-05-07,Netherlands
Liverpool FC,64,Alexander Isak,6486,Centre-Forward,1999-09-21,Sweden
Liverpool FC,64,Mohamed Salah,3754,Right Winger,1992-06-15,Egypt
Liverpool FC,64,Wataru Endō,3269,Defensive Midfield,1993-02-09,Japan
Liverpool FC,64,Federico Chiesa,1780,Right Winger,1997-10-25,Italy
Liverpool FC,64,Jayden Danns,247657,Centre-Forward,2006-01-16,England
Liverpool FC,64,Trey Nyoni,230517,Attacking Midfield,2007-06-30,England
Liverpool FC,64,Giovanni Leoni,192563,Centre-Back,2006-12-21,Italy
Liverpool FC,64,Conor Bradley,175865,Right-Back,2003-07-09,Northern Ireland
Liverpool FC,64,Milos Kerkez,171141,Left-Back,2003-11-07,Hungary
Liverpool FC,64,Kaide Gordon,157176,Right Winger,2004-10-05,England
Liverpool FC,64,Hugo Ekitike,152454,Centre-Forward,2002-06-20,France
Liverpool FC,64,Rhys Williams,135636,Centre-Back,2001-02-03,England
Liverpool FC,64,Jeremie Frimpong,128954,Right Midfield,2000-12-10,Netherlands
Liverpool FC,64,Calvin Ramsay,124778,Right-Back,2003-07-31,Scotland
