team,team_id,player_name,player_id,position,dateOfBirth,nationality
Manchester City FC,65,Gianluigi Donnarumma,1731,Goalkeeper,1999-02-25,Italy
Manchester City FC,65,Marcus Bettinelli,3953,Goalkeeper,1992-05-24,England
Manchester City FC,65,Stefan Ortega Moreno,6958,Goalkeeper,1992-11-06,Germany
Manchester City FC,65,James Trafford,153874,Goalkeeper,2002-10-10,England
Manchester City FC,65,Kaden Braithwaite,270613,Defence,2008-03-25,England
Manchester City FC,65,Stephen Mfuni,286320,Defence,2008-02-12,England
Manchester City FC,65,Nico O'Reilly,206743,Midfield,2005-03-21,England
Manchester City FC,65,Divine Mukasa,286321,Midfield,2007-08-22,England
Manchester City FC,65,Ryan McAidoo,286950,Midfield,2008-06-24,England
Manchester City FC,65,Jaden Heskey,286773,Offence,2005-12-17,England
Manchester City FC,65,Reigan Heskey,286775,Offence,2008-01-19,England
Manchester City FC,65,Matheus Nunes,91512,Central Midfield,1998-08-27,Portugal
Manchester City FC,65,Omar Marmoush,66896,Centre-Forward,1999-02-07,Egypt
Manchester City FC,65,Erling Haaland,38101,Centre-Forward,2000-07-21,Norway
Manchester City FC,65,Rúben Dias,10183,Centre-Back,1997-05-14,Portugal
Manchester City FC,65,Rayan Aït Nouri,8642,Left-Back,2001-06-06,Algeria
Manchester City FC,65,Nathan Aké,8240,Centre-Back,1995-02-18,Netherlands
Manchester City FC,65,Phil Foden,7888,Right Winger,2000-05-28,England
Manchester City FC,65,Tijjani Reijnders,7696,Central Midfield,1998-07-29,Netherlands
Manchester City FC,65,Kalvin Phillips,4147,Defensive Midfield,1995-12-02,England
Manchester City FC,65,John Stones,3313,Centre-Back,1994-05-28,England
Manchester City FC,65,Bernardo Silva,3254,Attacking Midfield,1994-08-10,Portugal
Manchester City FC,65,Rodri,3199,Defensive Midfield,1996-06-22,Spain
Manchester City FC,65,Mateo Kovačić,65,Central Midfield,1994-05-06,Croatia
Manchester City FC,65,Abdukodir Khusanov,212868,Centre-Back,2004-02-29,Uzbekistan
Manchester City FC,65,Rico Lewis,187202,Right-Back,2004-11-21,England
Manchester City FC,65,Oscar Bobb,179716,Right Winger,2003-07-12,Norway
Manchester City FC,65,Nico Gonzalez,171986,Central Midfield,2002-01-03,Spain
Manchester City FC,65,Sávio,146352,Right Winger,2004-04-10,Brazil
Manchester City FC,65,Rayan Cherki,133242,Attacking Midfield,2003-08-17,France
Manchester City FC,65,Joško Gvardiol,122266,Left-Back,2002-01-23,Croatia
Manchester City FC,65,Jeremy Doku,99775,Left Winger,2002-05-27,Belgium
