team,team_id,player_name,player_id,position,dateOfBirth,nationality
Manchester United FC,66,Tom Heaton,8035,Goalkeeper,1986-04-15,England
Manchester United FC,66,Altay Bayındır,29518,Goalkeeper,1998-04-14,Turkey
Manchester United FC,66,Senne Lammens,129946,Goalkeeper,2002-07-07,Belgium
Manchester United FC,66,Tyler Fredricson,188291,Defence,2005-02-23,England
Manchester United FC,66,Diego León,262921,Defence,2007-04-03,Paraguay
Manchester United FC,66,Chido Obi-Martin,275522,Offence,2007-11-29,Denmark
Manchester United FC,66,Ayden Heaven,247644,Centre-Back,2006-09-22,England
Manchester United FC,66,Patrick Dorgu,211559,Left-Back,2004-10-26,Denmark
Manchester United FC,66,Kobbie Mainoo,190797,Central Midfield,2005-04-19,England
Manchester United FC,66,Leny Yoro,181933,Centre-Back,2005-11-13,France
Manchester United FC,66,Amad Diallo,133584,Right Winger,2002-07-11,Ivory Coast
Manchester United FC,66,Benjamin Šeško,124244,Centre-Forward,2003-05-31,Slovenia
Manchester United FC,66,Joshua Zirkzee,99731,Centre-Forward,2001-05-22,Netherlands
Manchester United FC,66,Lisandro Martínez,46451,Centre-Back,1998-01-18,Argentina
Manchester United FC,66,Matheus Cunha,30842,Centre-Forward,1999-05-27,Brazil
Manchester United FC,66,Manuel Ugarte,28549,Defensive Midfield,2001-04-11,Uruguay
Manchester United FC,66,Diogo Dalot,15905,Right-Back,1999-03-18,Portugal
Manchester United FC,66,Bryan Mbeumo,8626,Right Winger,1999-08-07,Cameroon
Manchester United FC,66,Luke Shaw,7898,Left-Back,1995-07-12,England
Manchester United FC,66,Mason Mount,7599,Attacking Midfield,1999-01-10,England
Manchester United FC,66,Noussair Mazraoui,7553,Right-Back,1997-11-14,Morocco
Manchester United FC,66,Matthijs de Ligt,7549,Centre-Back,1999-08-12,Netherlands
Manchester United FC,66,Tyrell Malacia,7467,Left-Back,1999-08-17,Netherlands
Manchester United FC,66,Harry Maguire,3326,Centre-Back,1993-03-05,England
Manchester United FC,66,Bruno Fernandes,3257,Attacking Midfield,1994-09-08,Portugal
Manchester United FC,66,Casemiro,3231,Defensive Midfield,1992-02-23,Brazil
