team,team_id,player_name,player_id,position,dateOfBirth,nationality
Newcastle United FC,67,Nick Pope,3310,Goalkeeper,1992-04-19,England
Newcastle United FC,67,Mark Gillespie,5048,Goalkeeper,1992-03-27,England
Newcastle United FC,67,Aaron Ramsdale,5530,Goalkeeper,1998-05-14,England
Newcastle United FC,67,Max Thompson,214426,Goalkeeper,2004-08-01,England
Newcastle United FC,67,Lewis Hall,176852,Midfield,2004-09-08,England
Newcastle United FC,67,Nick Woltemade,133547,Offence,2002-02-14,Germany
Newcastle United FC,67,Seung-soo Park,283375,Offence,2007-03-17,South Korea
Newcastle United FC,67,Alex Murphy,230364,Left-Back,2004-06-25,Ireland
Newcastle United FC,67,Lewis Miley,191939,Central Midfield,2006-05-01,England
Newcastle United FC,67,William Osula,169324,Centre-Forward,2003-08-04,Denmark
Newcastle United FC,67,Valentino Livramento,168712,Right-Back,2002-11-12,England
Newcastle United FC,67,Anthony Elanga,166376,Right Winger,2002-04-27,Sweden
Newcastle United FC,67,Harrison Ashby,150776,Right-Back,2001-11-14,Scotland
Newcastle United FC,67,Malick Thiaw,142732,Centre-Back,2001-08-08,Germany
Newcastle United FC,67,Jacob Ramsey,111437,Left Midfield,2001-05-28,England
Newcastle United FC,67,Sven Botman,81082,Centre-Back,2000-01-12,Netherlands
Newcastle United FC,67,Joelinton,10653,Central Midfield,1996-08-14,Brazil
Newcastle United FC,67,Harvey Barnes,8076,Left Winger,1997-12-09,England
Newcastle United FC,67,Jacob Murphy,7934,Right Winger,1995-02-24,England
Newcastle United FC,67,Jamaal Lascelles,7919,Centre-Back,1993-11-11,England
Newcastle United FC,67,Anthony Gordon,7848,Left Winger,2001-02-24,England
Newcastle United FC,67,Joe Willock,7798,Central Midfield,1999-08-20,England
Newcastle United FC,67,Dan Burn,4870,Centre-Back,1992-05-09,England
Newcastle United FC,67,Kieran Trippier,3312,Right-Back,1990-09-19,England
Newcastle United FC,67,Sandro Tonali,2563,Central Midfield,2000-05-08,Italy
Newcastle United FC,67,Emil Krafth,1868,Right-Back,1994-08-02,Sweden
Newcastle United FC,67,Bruno Guimarães,1684,Defensive Midfield,1997-11-16,Brazil
Newcastle United FC,67,Yoane Wissa,612,Centre-Forward,1996-09-03,DR Congo
Newcastle United FC,67,Fabian Schär,88,Centre-Back,1991-12-20,Switzerland
