team,team_id,player_name,player_id,position,dateOfBirth,nationality
Nottingham Forest FC,351,John,1299,Goalkeeper,1996-02-13,Brazil
Nottingham Forest FC,351,Matz Sels,3643,Goalkeeper,1992-02-26,Belgium
Nottingham Forest FC,351,Angus Gunn,3981,Goalkeeper,1996-01-22,Scotland
Nottingham Forest FC,351,Keehan Willows,287984,Goalkeeper,2005-10-01,England
Nottingham Forest FC,351,Jair Paula,179782,Defence,2005-03-07,Brazil
Nottingham Forest FC,351,Igor Jesus,256339,Offence,2001-02-25,Brazil
Nottingham Forest FC,351,Zyan Blake,287987,Offence,2007-11-13,England
Nottingham Forest FC,351,Zach Abbott,204483,Centre-Back,2006-05-13,England
Nottingham Forest FC,351,Murillo,192637,Centre-Back,2002-07-04,Brazil
Nottingham Forest FC,351,Nicolò Savona,191730,Right-Back,2003-03-19,Italy
Nottingham Forest FC,351,Omari Hutchinson,177477,Attacking Midfield,2003-10-29,England
Nottingham Forest FC,351,James McAtee,172956,Attacking Midfield,2002-10-18,England
Nottingham Forest FC,351,Dilane Bakwa,151295,Right Winger,2002-08-26,France
Nottingham Forest FC,351,Neco Williams,133765,Right-Back,2001-04-13,Wales
Nottingham Forest FC,351,Arnaud Kalimuendo,130668,Centre-Forward,2002-01-20,France
Nottingham Forest FC,351,Morato,119596,Centre-Back,2001-06-30,Brazil
Nottingham Forest FC,351,Elliot Anderson,107330,Central Midfield,2002-11-06,England
Nottingham Forest FC,351,Dan Ndoye,77641,Right Winger,2000-10-25,Switzerland
Nottingham Forest FC,351,Nicolás Domínguez,46346,Central Midfield,1998-06-28,Argentina
Nottingham Forest FC,351,Douglas Luiz,33525,Central Midfield,1998-05-09,Brazil
Nottingham Forest FC,351,Taiwo Awoniyi,9218,Centre-Forward,1997-08-12,Nigeria
Nottingham Forest FC,351,Ibrahim Sangaré,8307,Defensive Midfield,1997-12-02,Ivory Coast
Nottingham Forest FC,351,Chris Wood,8057,Centre-Forward,1991-12-07,New Zealand
Nottingham Forest FC,351,Oleksandr Zinchenko,7889,Left-Back,1996-12-15,Ukraine
Nottingham Forest FC,351,Callum Hudson-Odoi,7816,Left Winger,2000-11-07,England
Nottingham Forest FC,351,Ryan Yates,5435,Central Midfield,1997-11-21,England
Nottingham Forest FC,351,Morgan Gibbs-White,4091,Attacking Midfield,2000-01-27,England
Nottingham Forest FC,351,Willy Boly,4086,Centre-Back,1991-02-03,Ivory Coast
Nottingham Forest FC,351,Ola Aina,3386,Right-Back,1996-10-08,Nigeria
Nottingham Forest FC,351,Nikola Milenković,1775,Centre-Back,1997-10-12,Serbia
