team,team_id,player_name,player_id,position,dateOfBirth,nationality
Sunderland AFC,71,Simon Moore,4292,Goalkeeper,1990-05-19,England
Sunderland AFC,71,Anthony Patterson,97249,Goalkeeper,2000-05-10,England
Sunderland AFC,71,Robin Roefs,137691,Goalkeeper,2003-01-17,Netherlands
Sunderland AFC,71,Blondy Noukeu,145505,Goalkeeper,2001-09-17,Cameroon
Sunderland AFC,71,Arthur Masuaku,8204,Defence,1993-11-07,DR Congo
Sunderland AFC,71,Leo Hjelde,179695,Defence,2003-08-26,Norway
Sunderland AFC,71,Noah Sadiki,182273,Defence,2004-12-17,Belgium
Sunderland AFC,71,Jenson Jones,285390,Defence,2006-06-26,England
Sunderland AFC,71,Jay Matete,131135,Midfield,2001-02-11,England
Sunderland AFC,71,Timur Tuterov,189892,Midfield,2005-06-11,Ukraine
Sunderland AFC,71,Chemsdine Talbi,192313,Midfield,2005-05-09,Belgium
Sunderland AFC,71,Harrison Jones,249412,Midfield,2005-02-13,England
Sunderland AFC,71,Jaydon Jones,285389,Midfield,2006-11-03,England
Sunderland AFC,71,Jack Whittaker,285392,Midfield,2006-10-14,England
Sunderland AFC,71,Ben Middlemas,210066,Offence,2004-12-13,England
Sunderland AFC,71,Ian Poveda,213255,Offence,2000-02-09,Colombia
Sunderland AFC,71,Simon Adingra,166249,Left Winger,2002-01-01,Ivory Coast
Sunderland AFC,71,Abdoullah Ba,165311,Right Midfield,2003-07-31,France
Sunderland AFC,71,Aji Alese,161270,Centre-Back,2001-01-17,England
Sunderland AFC,71,Timothee Pembele,148288,Right-Back,2002-09-09,France
Sunderland AFC,71,Daniel Ballard,121109,Centre-Back,1999-09-22,Northern Ireland
Sunderland AFC,71,Trai Hume,117687,Right-Back,2002-03-18,Northern Ireland
Sunderland AFC,71,Enzo Le Fée,99664,Central Midfield,2000-02-03,France
Sunderland AFC,71,Brian Brobbey,97535,Centre-Forward,2002-02-01,Netherlands
Sunderland AFC,71,Wilson Isidor,83599,Centre-Forward,2000-08-27,France
Sunderland AFC,71,Omar Alderete,46491,Centre-Back,1996-12-26,Paraguay
Sunderland AFC,71,Reinildo,37094,Left-Back,1994-01-21,Mozambique
Sunderland AFC,71,Bertrand Traoré,8467,Right Winger,1995-09-06,Burkina Faso
Sunderland AFC,71,Nordi Mukiele,8371,Right-Back,1997-11-01,France
Sunderland AFC,71,Lutsharel Geertruida,7468,Right-Back,2000-07-18,Netherlands
Sunderland AFC,71,Luke O'Nien,6259,Centre-Back,1994-11-21,England
Sunderland AFC,71,Granit Xhaka,3477,Defensive Midfield,1992-09-27,Switzerland
Sunderland AFC,71,Ahmed Abdullahi,191889,Centre-Forward,2004-06-19,Nigeria
Sunderland AFC,71,Joseph Anderson,191461,Centre-Back,2001-02-06,England
Sunderland AFC,71,Chris Rigg,190817,Central Midfield,2007-06-18,England
Sunderland AFC,71,Eliezer Mayenda,178644,Centre-Forward,2005-05-08,Spain
Sunderland AFC,71,Romaine Mundle,172275,Left Winger,2003-04-24,England
Sunderland AFC,71,Dan Neil,172127,Central Midfield,2001-11-30,England
Sunderland AFC,71,Dennis Cirkin,172123,Left-Back,2002-04-06,England
Sunderland AFC,71,Habib Diarra,171876,Central Midfield,2004-01-03,France
