team,team_id,player_name,player_id,position,dateOfBirth,nationality
Tottenham Hotspur FC,73,Guglielmo Vicario,3086,Goalkeeper,1996-10-07,Italy
Tottenham Hotspur FC,73,Brandon Austin,133229,Goalkeeper,1999-01-08,England
Tottenham Hotspur FC,73,Antonín Kinský,255239,Goalkeeper,2003-03-13,Czech Republic
Tottenham Hotspur FC,73,Kota Takai,181193,Defence,2004-09-04,Japan
Tottenham Hotspur FC,73,Malachi Hardy,272980,Defence,2008-03-10,England
Tottenham Hotspur FC,73,Jun'ai Byfield,283174,Defence,2008-12-06,England
Tottenham Hotspur FC,73,Callum Olusesi,272688,Midfield,2007-03-11,England
Tottenham Hotspur FC,73,Luca Williams-Barnett,272687,Offence,2008-10-01,England
Tottenham Hotspur FC,73,Tynan Thompson,286774,Offence,2008-04-17,England
Tottenham Hotspur FC,73,Mickey van de Ven,131177,Centre-Back,2001-04-19,Netherlands
Tottenham Hotspur FC,73,Brennan Johnson,124694,Right Winger,2001-05-23,Wales
Tottenham Hotspur FC,73,Pedro Porro,81037,Right-Back,1999-09-13,Spain
Tottenham Hotspur FC,73,Djed Spence,80775,Right-Back,2000-08-09,England
Tottenham Hotspur FC,73,Mohammed Kudus,77399,Right Winger,2000-08-02,Ghana
Tottenham Hotspur FC,73,Christian Romero,45735,Centre-Back,1998-04-27,Argentina
Tottenham Hotspur FC,73,João Palhinha,15884,Defensive Midfield,1995-07-09,Portugal
Tottenham Hotspur FC,73,Randal Kolo Muani,8708,Centre-Forward,1998-12-05,France
Tottenham Hotspur FC,73,Yves Bissouma,8410,Defensive Midfield,1996-08-30,Mali
Tottenham Hotspur FC,73,Richarlison,8133,Centre-Forward,1997-05-10,Brazil
Tottenham Hotspur FC,73,Ben Davies,7994,Centre-Back,1993-04-24,Wales
Tottenham Hotspur FC,73,Dominic Solanke,7878,Centre-Forward,1997-09-14,England
Tottenham Hotspur FC,73,Kevin Danso,6655,Centre-Back,1998-09-19,Austria
Tottenham Hotspur FC,73,James Maddison,3992,Attacking Midfield,1996-11-23,England
Tottenham Hotspur FC,73,Rodrigo Bentancur,2041,Defensive Midfield,1997-06-25,Uruguay
Tottenham Hotspur FC,73,Dejan Kulusevski,1859,Attacking Midfield,2000-04-25,Sweden
Tottenham Hotspur FC,73,Lucas Bergvall,193622,Central Midfield,2006-02-02,Sweden
Tottenham Hotspur FC,73,Wilson Odobert,184999,Right Winger,2004-11-28,France
Tottenham Hotspur FC,73,Archie Gray,177040,Right-Back,2006-03-12,England
Tottenham Hotspur FC,73,Mathys Tel,171977,Centre-Forward,2005-04-27,France
Tottenham Hotspur FC,73,Pape Sarr,170391,Central Midfield,2002-09-14,Senegal
Tottenham Hotspur FC,73,Destiny Udogie,170378,Left-Back,2002-11-28,Italy
Tottenham Hotspur FC,73,Dane Scarlett,156616,Centre-Forward,2004-03-24,England
Tottenham Hotspur FC,73,Xavi Simons,148289,Attacking Midfield,2003-04-21,Netherlands
Tottenham Hotspur FC,73,Radu Drăgușin,140432,Centre-Back,2002-02-03,Romania
