team,team_id,player_name,player_id,position,dateOfBirth,nationality
West Ham United FC,563,Alphonse Aréola,3357,Goalkeeper,1993-02-27,France
West Ham United FC,563,Łukasz Fabiański,3526,Goalkeeper,1985-04-18,Poland
West Ham United FC,563,Mads Hermansen,97144,Goalkeeper,2000-07-11,Denmark
West Ham United FC,563,El Hadji Diouf,205441,Defence,2004-12-28,Senegal
West Ham United FC,563,George Earthy,248957,Attacking Midfield,2004-09-05,England
West Ham United FC,563,Callum Marshall,207527,Centre-Forward,2004-11-28,Northern Ireland
West Ham United FC,563,Luis Guilherme,192653,Right Winger,2006-02-09,Brazil
West Ham United FC,563,Oliver Scarles,188900,Left-Back,2005-12-12,England
West Ham United FC,563,Mateus Fernandes,187216,Central Midfield,2004-07-10,Portugal
West Ham United FC,563,Soungoutou Magassa,179625,Defensive Midfield,2003-10-08,France
West Ham United FC,563,Freddie Potts,176597,Defensive Midfield,2003-09-12,England
West Ham United FC,563,Andy Irving,170617,Central Midfield,2000-05-13,Scotland
West Ham United FC,563,Crysencio Summerville,102193,Left Winger,2001-10-30,Netherlands
West Ham United FC,563,Jean-Clair Todibo,79903,Centre-Back,1999-12-30,France
West Ham United FC,563,Guido Rodríguez,39104,Defensive Midfield,1994-04-12,Argentina
West Ham United FC,563,Max Kilman,25376,Centre-Back,1997-05-23,England
West Ham United FC,563,Tomáš Souček,15742,Defensive Midfield,1995-02-27,Czech Republic
West Ham United FC,563,Jarrod Bowen,11414,Right Winger,1996-01-01,England
West Ham United FC,563,Igor,10777,Centre-Back,1998-02-07,Brazil
West Ham United FC,563,Callum Wilson,8251,Centre-Forward,1992-02-27,England
West Ham United FC,563,Aaron Wan-Bissaka,8158,Right-Back,1997-11-26,England
West Ham United FC,563,James Ward-Prowse,8088,Central Midfield,1994-11-01,England
West Ham United FC,563,Kyle Walker-Peters,7995,Right-Back,1997-04-13,England
West Ham United FC,563,Konstantinos Mavropanos,7789,Centre-Back,1997-12-11,Greece
West Ham United FC,563,Lucas Paquetá,1543,Attacking Midfield,1997-08-27,Brazil
West Ham United FC,563,Niclas Füllkrug,304,Centre-Forward,1993-02-09,Germany
