team,team_id,player_name,player_id,position,dateOfBirth,nationality
Wolverhampton Wanderers FC,76,Sam Johnstone,3884,Goalkeeper,1993-03-25,England
Wolverhampton Wanderers FC,76,Daniel Bentley,4418,Goalkeeper,1993-07-13,England
Wolverhampton Wanderers FC,76,José Sá,15899,Goalkeeper,1993-01-17,Portugal
Wolverhampton Wanderers FC,76,David Wolfe,205467,Defence,2002-04-23,Norway
Wolverhampton Wanderers FC,76,Jhon Arias,22306,Midfield,1997-09-21,Colombia
Wolverhampton Wanderers FC,76,Fer López,272431,Midfield,2004-05-24,Spain
Wolverhampton Wanderers FC,76,Toluwalas Arokodare,120981,Offence,2000-11-23,Nigeria
Wolverhampton Wanderers FC,76,Jackson Tchatchoua,171027,Offence,2002-06-22,Cameroon
Wolverhampton Wanderers FC,76,Jørgen Strand Larsen,213269,Offence,2000-02-06,Norway
Wolverhampton Wanderers FC,76,Enso Gonzalez,193014,Left Winger,2005-01-20,Paraguay
Wolverhampton Wanderers FC,76,Nathan Fraser,189575,Centre-Forward,2005-02-22,England
Wolverhampton Wanderers FC,76,Hugo Bueno,157709,Left-Back,2002-09-18,Spain
Wolverhampton Wanderers FC,76,Yerson Mosquera,153570,Centre-Back,2001-05-02,Colombia
Wolverhampton Wanderers FC,76,Rodrigo Gomes,151521,Right Midfield,2003-07-07,Portugal
Wolverhampton Wanderers FC,76,Emmanuel Agbadou,149731,Centre-Back,1997-06-17,Ivory Coast
Wolverhampton Wanderers FC,76,André,145538,Defensive Midfield,2001-07-16,Brazil
Wolverhampton Wanderers FC,76,João Gomes,138034,Central Midfield,2001-02-12,Brazil
Wolverhampton Wanderers FC,76,Tawanda Chirewa,135345,Attacking Midfield,2003-10-11,England
Wolverhampton Wanderers FC,76,Toti Gomes,102223,Centre-Back,1999-01-16,Portugal
Wolverhampton Wanderers FC,76,Ki-Jana Hoever,102044,Right-Back,2002-01-18,Netherlands
Wolverhampton Wanderers FC,76,Ladislav Krejčí,62493,Centre-Back,1999-04-20,Czech Republic
Wolverhampton Wanderers FC,76,Marshall Munetsi,34754,Central Midfield,1996-06-22,Zimbabwe
Wolverhampton Wanderers FC,76,Santiago Bueno,32767,Centre-Back,1998-11-09,Uruguay
Wolverhampton Wanderers FC,76,Matt Doherty,4081,Right-Back,1992-01-16,Ireland
Wolverhampton Wanderers FC,76,Hwang Heechan,3354,Centre-Forward,1996-01-26,South Korea
Wolverhampton Wanderers FC,76,Jean-Ricner Bellegarde,788,Central Midfield,1998-06-27,France
