position,team,team_id,playedGames,won,draw,lost,points,goalsFor,goalsAgainst,goalDifference,form,season
1,Arsenal FC,57,8,6,1,1,19,15,3,12,"W,W,W,D,W",2025
2,Sunderland AFC,71,9,5,2,2,17,11,7,4,"W,W,L,W,D",2025
3,Manchester City FC,65,8,5,1,2,16,17,6,11,"W,W,W,D,W",2025
4,Manchester United FC,66,9,5,1,3,16,15,14,1,"W,W,W,L,W",2025
5,AFC Bournemouth,1044,8,4,3,1,15,14,11,3,"D,W,D,D,W",2025
6,Liverpool FC,64,9,5,0,4,15,16,14,2,"L,L,L,L,W",2025
7,Tottenham Hotspur FC,73,8,4,2,2,14,14,7,7,"L,W,D,D,W",2025
8,Chelsea FC,61,9,4,2,3,14,17,11,6,"L,W,W,L,L",2025
9,Crystal Palace FC,354,8,3,4,1,13,12,8,4,"D,L,W,W,D",2025
10,Brentford FC,402,9,4,1,4,13,14,14,0,"W,W,L,W,L",2025
11,Newcastle United FC,67,9,3,3,3,12,9,8,1,"W,L,W,L,D",2025
12,Aston Villa FC,58,8,3,3,2,12,8,8,0,"W,W,W,D,D",2025
13,Brighton & Hove Albion FC,397,9,3,3,3,12,14,15,-1,"L,W,D,W,D",2025
14,Everton FC,62,8,3,2,3,11,9,9,0,"L,W,D,L,D",2025
15,Leeds United FC,341,9,3,2,4,11,9,14,-5,"W,L,L,D,W",2025
16,Fulham FC,63,9,2,2,5,8,9,14,-5,"L,L,L,L,W",2025
17,Burnley FC,328,8,2,1,5,7,9,15,-6,"W,L,L,D,L",2025
18,Nottingham Forest FC,351,8,1,2,5,5,5,15,-10,"L,L,L,D,L",2025
19,West Ham United FC,563,9,1,1,7,4,7,20,-13,"L,L,L,D,L",2025
20,Wolverhampton Wanderers FC,76,8,0,2,6,2,5,16,-11,"L,D,D,L,L",2025
