match_id,date,home_team,home_id,away_team,away_id,home_goals,away_goals,home_xg,away_xg,season
28778,2025-08-15 19:00:00,Liverpool,87,Bournemouth,73,4,2,2.33007,1.57303,2025
28779,2025-08-16 11:30:00,Aston Villa,71,Newcastle United,86,0,0,0.318601,1.40098,2025
28780,2025-08-16 14:00:00,Brighton,220,Fulham,228,1,1,1.44008,0.902883,2025
28781,2025-08-16 14:00:00,Sunderland,77,West Ham,81,3,0,0.724368,0.558948,2025
28782,2025-08-16 14:00:00,Tottenham,82,Burnley,92,3,0,1.97858,0.734138,2025
28783,2025-08-16 16:30:00,Wolverhampton Wanderers,229,Manchester City,88,0,4,0.519436,2.29903,2025
28784,2025-08-17 13:00:00,Chelsea,80,Crystal Palace,78,0,0,1.36793,1.03414,2025
28785,2025-08-17 13:00:00,Nottingham Forest,249,Brentford,244,3,1,1.7555,1.32516,2025
28786,2025-08-17 15:30:00,Manchester United,89,Arsenal,83,0,1,1.37653,1.3304,2025
28787,2025-08-18 19:00:00,Leeds,245,Everton,72,1,0,2.3812,0.674338,2025
28788,2025-08-22 19:00:00,West Ham,81,Chelsea,80,1,5,0.978572,3.94997,2025
28789,2025-08-23 11:30:00,Manchester City,88,Tottenham,82,0,2,1.2475,1.28015,2025
28790,2025-08-23 14:00:00,Brentford,244,Aston Villa,71,1,0,1.12964,0.976852,2025
28791,2025-08-23 14:00:00,Burnley,92,Sunderland,77,2,0,1.00381,1.12127,2025
28792,2025-08-23 14:00:00,Bournemouth,73,Wolverhampton Wanderers,229,1,0,1.78462,0.373367,2025
28793,2025-08-23 16:30:00,Arsenal,83,Leeds,245,5,0,2.73761,0.156761,2025
28794,2025-08-24 13:00:00,Crystal Palace,78,Nottingham Forest,249,1,1,1.10188,1.32987,2025
28795,2025-08-24 13:00:00,Everton,72,Brighton,220,2,0,1.80116,2.08487,2025
28796,2025-08-24 15:30:00,Fulham,228,Manchester United,89,1,1,1.65333,1.54603,2025
28797,2025-08-25 19:00:00,Newcastle United,86,Liverpool,87,2,3,1.96342,0.646559,2025
28798,2025-08-30 11:30:00,Chelsea,80,Fulham,228,2,0,2.4324,0.736228,2025
28799,2025-08-30 14:00:00,Tottenham,82,Bournemouth,73,0,1,0.17067,2.1201,2025
28800,2025-08-30 14:00:00,Wolverhampton Wanderers,229,Everton,72,2,3,0.943257,2.03791,2025
28801,2025-08-30 14:00:00,Sunderland,77,Brentford,244,2,1,1.57127,1.44604,2025
28802,2025-08-30 14:00:00,Manchester United,89,Burnley,92,3,2,4.02237,1.32618,2025
28803,2025-08-30 16:30:00,Leeds,245,Newcastle United,86,0,0,0.6773,0.303635,2025
28804,2025-08-31 13:00:00,Nottingham Forest,249,West Ham,81,0,3,0.716018,2.236,2025
28805,2025-08-31 13:00:00,Brighton,220,Manchester City,88,2,1,2.20864,2.13418,2025
28806,2025-08-31 15:30:00,Liverpool,87,Arsenal,83,1,0,0.481404,0.485679,2025
28807,2025-08-31 18:00:00,Aston Villa,71,Crystal Palace,78,0,3,1.20586,2.59713,2025
28808,2025-09-13 11:30:00,Arsenal,83,Nottingham Forest,249,3,0,2.8817,0.293681,2025
28809,2025-09-13 14:00:00,Newcastle United,86,Wolverhampton Wanderers,229,1,0,1.19186,0.375942,2025
28810,2025-09-13 14:00:00,Bournemouth,73,Brighton,220,2,1,1.44187,0.624923,2025
28811,2025-09-13 14:00:00,Crystal Palace,78,Sunderland,77,0,0,1.75805,0.354129,2025
28812,2025-09-13 14:00:00,Everton,72,Aston Villa,71,0,0,1.8927,0.354327,2025
28813,2025-09-13 14:00:00,Fulham,228,Leeds,245,1,0,1.13979,0.830398,2025
28814,2025-09-13 16:30:00,West Ham,81,Tottenham,82,0,3,0.793248,1.51402,2025
28815,2025-09-13 19:00:00,Brentford,244,Chelsea,80,2,2,1.17533,0.755999,2025
28816,2025-09-14 13:00:00,Burnley,92,Liverpool,87,0,1,0.168041,2.79492,2025
28817,2025-09-14 15:30:00,Manchester City,88,Manchester United,89,3,0,1.99725,1.51915,2025
28818,2025-09-20 11:30:00,Liverpool,87,Everton,72,2,1,1.06166,0.721371,2025
28819,2025-09-20 14:00:00,West Ham,81,Crystal Palace,78,1,2,0.466365,2.33565,2025
28820,2025-09-20 14:00:00,Wolverhampton Wanderers,229,Leeds,245,1,3,1.5661,0.456988,2025
28821,2025-09-20 14:00:00,Brighton,220,Tottenham,82,2,2,1.40466,1.19181,2025
28822,2025-09-20 14:00:00,Burnley,92,Nottingham Forest,249,1,1,1.14159,0.830779,2025
28824,2025-09-20 16:30:00,Manchester United,89,Chelsea,80,2,1,1.34458,0.469843,2025
28825,2025-09-20 19:00:00,Fulham,228,Brentford,244,3,1,1.52431,0.826556,2025
28823,2025-09-21 13:00:00,Bournemouth,73,Newcastle United,86,0,0,0.55066,0.153629,2025
28826,2025-09-21 13:00:00,Sunderland,77,Aston Villa,71,1,1,0.938312,0.939354,2025
28827,2025-09-21 15:30:00,Arsenal,83,Manchester City,88,1,1,0.718575,1.1227,2025
28828,2025-09-27 11:30:00,Brentford,244,Manchester United,89,3,1,2.78726,2.23609,2025
28829,2025-09-27 14:00:00,Chelsea,80,Brighton,220,1,3,2.02653,2.4751,2025
28830,2025-09-27 14:00:00,Crystal Palace,78,Liverpool,87,2,1,3.53323,3.10176,2025
28832,2025-09-27 14:00:00,Leeds,245,Bournemouth,73,2,2,2.04728,1.06033,2025
28833,2025-09-27 14:00:00,Manchester City,88,Burnley,92,5,1,3.22133,0.509491,2025
28834,2025-09-27 16:30:00,Nottingham Forest,249,Sunderland,77,0,1,1.4203,1.94154,2025
28835,2025-09-27 19:00:00,Tottenham,82,Wolverhampton Wanderers,229,1,1,0.818711,1.15951,2025
28831,2025-09-28 13:00:00,Aston Villa,71,Fulham,228,3,1,1.36575,0.952612,2025
28836,2025-09-28 15:30:00,Newcastle United,86,Arsenal,83,1,2,0.739851,2.07048,2025
28837,2025-09-29 19:00:00,Everton,72,West Ham,81,1,1,0.909703,0.775766,2025
28838,2025-10-03 19:00:00,Bournemouth,73,Fulham,228,3,1,1.33458,0.84335,2025
28844,2025-10-04 11:30:00,Leeds,245,Tottenham,82,1,2,1.48051,0.688198,2025
28839,2025-10-04 14:00:00,Arsenal,83,West Ham,81,2,0,3.0585,0.864549,2025
28845,2025-10-04 14:00:00,Manchester United,89,Sunderland,77,2,0,1.9298,0.807119,2025
28842,2025-10-04 16:30:00,Chelsea,80,Liverpool,87,2,1,1.23721,2.05981,2025
28840,2025-10-05 13:00:00,Aston Villa,71,Burnley,92,2,1,1.73572,0.502292,2025
28843,2025-10-05 13:00:00,Everton,72,Crystal Palace,78,2,1,2.13876,2.17789,2025
28846,2025-10-05 13:00:00,Newcastle United,86,Nottingham Forest,249,2,0,3.81662,0.337689,2025
28847,2025-10-05 13:00:00,Wolverhampton Wanderers,229,Brighton,220,1,1,0.369404,1.39158,2025
28841,2025-10-05 15:30:00,Brentford,244,Manchester City,88,0,1,0.693758,1.09647,2025
28854,2025-10-18 11:30:00,Nottingham Forest,249,Chelsea,80,0,3,2.0555,2.5583,2025
28848,2025-10-18 14:00:00,Brighton,220,Newcastle United,86,2,1,0.857104,1.28313,2025
28849,2025-10-18 14:00:00,Burnley,92,Leeds,245,2,0,0.509647,2.33152,2025
28850,2025-10-18 14:00:00,Crystal Palace,78,Bournemouth,73,3,3,4.56284,2.0471,2025
28853,2025-10-18 14:00:00,Manchester City,88,Everton,72,2,0,2.4799,0.794622,2025
28855,2025-10-18 14:00:00,Sunderland,77,Wolverhampton Wanderers,229,2,0,1.02481,0.676323,2025
28851,2025-10-18 16:30:00,Fulham,228,Arsenal,83,0,1,0.502332,2.07823,2025
28856,2025-10-19 13:00:00,Tottenham,82,Aston Villa,71,1,2,1.51461,0.352231,2025
28852,2025-10-19 15:30:00,Liverpool,87,Manchester United,89,1,2,2.60972,2.53117,2025
28857,2025-10-20 19:00:00,West Ham,81,Brentford,244,0,2,0.260251,3.46635,2025
