team_id,team,matches,wins,draws,loses,scored,missed,xG,xGA,xpts,pts,deep,deep_allowed,npxG,npxGA,npxGD,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def,season
71,Aston Villa,324,0,0,1,1,5,1.486,4.32208,0.1709,0,6,9,1.486,4.32208,-2.83608,324.0,28.0,255.0,17.0,2023
72,Everton,341,0,0,1,0,1,2.59001,1.58144,2.1102,0,7,6,2.59001,1.58144,1.00857,341.0,23.0,174.0,10.0,2023
73,Bournemouth,138,0,1,0,1,1,1.51025,1.4834,1.3845999999999998,1,9,8,1.51025,1.4834,0.02685000000000004,138.0,27.0,292.0,30.0,2023
78,Crystal Palace,101,1,0,0,1,0,2.27616,0.422704,2.6568,3,9,2,2.27616,0.422704,1.853456,101.0,23.0,312.0,22.0,2023
80,Chelsea,170,0,1,0,1,1,1.93258,1.29994,1.8441,1,11,9,1.93258,1.29994,0.6326399999999999,170.0,19.0,421.0,21.0,2023
81,West Ham,292,0,1,0,1,1,1.4834,1.51025,1.2985,1,8,9,1.4834,1.51025,-0.02685000000000004,292.0,30.0,138.0,27.0,2023
82,Tottenham,182,0,1,0,2,2,1.45316,1.90756,0.9828999999999999,1,7,11,1.45316,1.1464,0.3067599999999999,182.0,31.0,282.0,20.0,2023
83,Arsenal,108,1,0,0,2,1,0.84262,0.966305,1.1754,3,9,4,0.84262,0.966305,-0.12368499999999993,108.0,27.0,441.0,10.0,2023
86,Newcastle United,255,1,0,0,5,1,4.32208,1.486,2.7626000000000004,3,9,6,4.32208,1.486,2.83608,255.0,17.0,324.0,28.0,2023
87,Liverpool,421,0,1,0,1,1,1.29994,1.93258,0.9087,1,9,11,1.29994,1.93258,-0.6326399999999999,421.0,21.0,170.0,19.0,2023
88,Manchester City,237,1,0,0,3,0,2.40074,0.311032,2.7761,3,9,4,2.40074,0.311032,2.089708,237.0,15.0,463.0,14.0,2023
89,Manchester United,233,1,0,0,1,0,1.97087,1.72228,1.5762,3,16,12,1.97087,1.72228,0.24858999999999987,233.0,32.0,243.0,18.0,2023
92,Burnley,463,0,0,1,0,3,0.311032,2.40074,0.1385,0,4,9,0.311032,2.40074,-2.089708,463.0,14.0,237.0,15.0,2023
220,Brighton,110,1,0,0,4,1,4.36748,1.88594,2.7246,3,17,5,3.60631,1.12477,2.48154,110.0,16.0,369.0,16.0,2023
228,Fulham,174,1,0,0,1,0,1.58144,2.59001,0.6909,3,6,7,1.58144,2.59001,-1.00857,174.0,10.0,341.0,23.0,2023
229,Wolverhampton Wanderers,243,0,0,1,0,1,1.72228,1.97087,1.1733,0,12,16,1.72228,1.97087,-0.24858999999999987,243.0,18.0,233.0,32.0,2023
238,Sheffield United,312,0,0,1,0,1,0.422704,2.27616,0.2253,0,2,9,0.422704,2.27616,-1.853456,312.0,22.0,101.0,23.0,2023
244,Brentford,282,0,1,0,2,2,1.90756,1.45316,1.7563,1,11,7,1.1464,1.45316,-0.3067599999999999,282.0,20.0,182.0,31.0,2023
249,Nottingham Forest,441,0,0,1,1,2,0.966305,0.84262,1.4883000000000002,0,4,9,0.966305,0.84262,0.12368499999999993,441.0,10.0,108.0,27.0,2023
256,Luton,369,0,0,1,1,4,1.88594,4.36748,0.1878,0,5,17,1.12477,3.60631,-2.48154,369.0,16.0,110.0,16.0,2023
